"parameter","value"
"s_triage",1
"gamma_triage",0.399933722019326
"s_hosp_D",2
"gamma_hosp_D",0.193524191024684
"s_hosp_R",1
"gamma_hosp_R",0.0936863971757944
"s_ICU_D",2
"gamma_ICU_D",0.169567056448408
"s_ICU_S_D",1
"gamma_ICU_S_D",0.143524483464586
"s_ICU_S_R",1
"gamma_ICU_S_R",0.0640500295424515
"s_stepdown_D",1
"gamma_stepdown_D",0.124122540356809
"s_stepdown_R",2
"gamma_stepdown_R",0.163636517713287
