"region","name","alpha_D","alpha_H","beta1","beta10","beta11","beta12","beta2","beta3","beta4","beta5","beta6","beta7","beta8","beta9","eps","m_CHR","m_CHW","mu_D","mu_ICU","p_G_D","p_G_D_CHR","p_H","p_H_CHR","p_H_D","p_ICU","p_ICU_D","p_NC","p_W_D","rho_pillar2_tests","start_date"
"london","beta6",-1.78051858143759e-05,4.42188240997254e-06,1.65587648640422e-06,-2.46502752743672e-06,4.84898216505925e-06,-3.48882188116167e-06,1.59967245732693e-06,-2.11564301436801e-06,3.86715224066564e-06,-1.54496505539885e-05,3.17930976565946e-05,-2.67721013270279e-05,1.75107014948367e-05,-3.02338810446486e-06,-0.000254560726523856,-3.41087223201972e-09,2.03406413225142e-09,6.59650104184114e-05,-7.60945386050474e-05,1.14477781722862e-07,0.000141714384917077,3.16265970414516e-05,-3.60857689100397e-05,-5.36721532276544e-05,-8.26410703223835e-06,-1.38429771238554e-06,5.02711404065607e-08,0.000107221425490358,-5.91410973286821e-06,0.00157669694135692
"london","beta7",3.38399301034302e-05,-1.13183271718624e-08,-4.94970758096683e-06,2.04579340097336e-07,-3.63415287477459e-06,3.44739671676269e-06,2.50424383814221e-08,1.42631599287838e-06,-2.06861680903847e-06,9.66251584900795e-06,-2.67721013270279e-05,4.06873834206804e-05,-4.11861628698416e-05,1.16809096449404e-05,0.000295172151599548,6.34416302110762e-09,-3.16067036154708e-09,-5.71446643847799e-05,7.82454952826738e-05,-2.71985518744677e-06,-0.000199887860706979,-7.02375857060913e-05,5.44512472880219e-05,5.2260790628224e-05,6.92056480719526e-06,-4.69953772091702e-05,4.35304254583143e-10,-0.000129641289256359,2.49134510594693e-06,-0.00323031972226273
"london","beta8",-1.40573937421627e-05,1.81857996144873e-07,5.17264110060196e-06,1.74276698580205e-05,-5.0614768908721e-06,2.22980013701865e-07,-4.72564124339726e-06,-3.49611070090516e-07,2.41690135919848e-06,-3.59291509696126e-06,1.75107014948367e-05,-4.11861628698416e-05,7.40562155588365e-05,-3.57515767155813e-05,-0.000402684982809977,-6.50355665536426e-09,2.90434157749033e-09,5.11018461642055e-05,-6.10828256641768e-06,2.86466208474088e-06,0.000151289151330212,-9.66434353656774e-07,-4.88690022727906e-06,-5.18025449350975e-05,-1.11422875938336e-05,5.76305567113867e-05,2.47847455461684e-07,5.11021589562826e-05,-1.2204542759672e-06,0.00250528371475067
"london","beta9",-2.6868954344844e-05,-3.35777233334723e-06,-5.18941428037572e-07,-3.13251632386547e-05,2.41116255382058e-05,-6.74908706403783e-07,4.8481703753716e-06,9.30235931538448e-07,-3.56201940189986e-07,6.13645249404333e-07,-3.02338810446486e-06,1.16809096449404e-05,-3.57515767155813e-05,4.37609145487134e-05,0.000265803737651644,2.38646793160784e-10,-6.30829957198141e-10,-3.68265345275926e-05,4.40281614557979e-06,1.74306907779942e-06,2.83138084342462e-05,-2.94801806584059e-05,-4.83758130096409e-05,1.36584136753424e-05,3.20057910496778e-06,2.60170703085125e-05,2.63812800892595e-07,-1.41310859651392e-05,8.55866122731529e-07,-0.000593982973801812
"london","eps",0.00217863357361955,0.000341250614372702,0.000326078561194121,-0.000185863698419943,1.06368911115451e-05,8.57585742551332e-05,-0.000325564960763726,4.58090875801625e-05,-0.000119792568793766,0.000231551875104594,-0.000254560726523856,0.000295172151599548,-0.000402684982809977,0.000265803737651644,0.0501725716341933,4.78703104014095e-07,-2.03915531436131e-07,-0.00267707563551105,0.00107673603855346,8.59070321620282e-05,-0.0176648183861952,-0.00242213939528802,-0.00224858201048295,0.00100966545871935,0.00129716399701359,0.00189267763357232,1.95172531194845e-06,0.000582840974549733,0.000124284968416604,0.236893118313225
"london","m_CHR",1.57205737265894e-07,3.91668457240299e-09,3.70261264904326e-09,3.97639147151755e-09,-6.81645072670672e-09,3.7377629993492e-09,-9.94114408434068e-09,4.03131426083658e-10,-5.51655999779423e-10,3.27876204304289e-09,-3.41087223201972e-09,6.34416302110762e-09,-6.50355665536426e-09,2.38646793160784e-10,4.78703104014095e-07,2.0760158780833e-11,-9.27828607729684e-12,1.04446149143201e-08,-3.80308752124969e-08,-1.38524015139196e-09,-3.57245247831102e-07,-5.76587462737335e-08,7.39296005818822e-09,-7.9250906231034e-09,3.03985234767421e-08,2.45233573008346e-08,2.46626425987841e-10,-5.72098964354594e-08,1.74246600252108e-09,2.86473532979887e-06
"london","m_CHW",-8.61232766379284e-08,-3.98426308925632e-10,-1.74403203227251e-09,-1.85495626303805e-09,4.14126705135548e-09,-1.81316012715383e-09,4.85361207414595e-09,-4.18394047355995e-10,3.19775258013133e-11,-1.32239083377482e-09,2.03406413225142e-09,-3.16067036154708e-09,2.90434157749033e-09,-6.30829957198141e-10,-2.03915531436131e-07,-9.27828607729684e-12,5.54414769976429e-12,-2.03358905243016e-08,1.18450920359669e-08,-5.6347351063104e-12,1.48258934957486e-07,2.46493703807387e-08,-8.11183070786689e-08,1.13082959552784e-08,-1.3538575395997e-08,-7.5620474188677e-09,-1.39500404506537e-10,2.82314361554147e-08,-4.83920909426541e-10,-1.52381652668151e-06
"london","mu_D",0.000757634702169143,0.000131271713326373,-9.02202642207895e-05,1.01937299492779e-05,4.64759482476578e-06,-2.12011744940768e-05,5.11595849099186e-05,-1.36369021066545e-05,2.75354599618181e-06,-3.69341687008379e-05,6.59650104184114e-05,-5.71446643847799e-05,5.11018461642055e-05,-3.68265345275926e-05,-0.00267707563551105,1.04446149143201e-08,-2.03358905243016e-08,0.00488936963280341,0.00157815062712303,-5.78745895658705e-05,-0.000264524599708338,0.000870349432027497,0.00230133700113004,-0.00245028803065495,-0.000234332467200491,0.000642009973811621,-9.35107920231581e-06,0.000597255642318448,8.69606363710232e-06,-0.0877983491935721
"london","mu_ICU",0.000892095732638733,0.000105129095322543,0.000223732280364177,-6.35678416791214e-05,0.000141479267391066,-3.28737640812941e-05,-5.22124898032912e-05,9.73862094244307e-06,-6.68063836205927e-05,6.26501747552813e-05,-7.60945386050474e-05,7.82454952826738e-05,-6.10828256641768e-06,4.40281614557979e-06,0.00107673603855346,-3.80308752124969e-08,1.18450920359669e-08,0.00157815062712303,0.0122662101369444,-2.79089954226561e-05,-0.00434120294232176,0.000899622096197175,0.00331405182353176,-0.000875702878037411,-0.00240720273928483,-0.000162753595139995,-1.45253455496015e-05,0.00121221662151236,5.65090161563981e-05,0.133252893458155
"london","p_G_D",9.67796156800957e-05,-5.81046446398117e-06,-4.2051732847572e-07,-2.35906571388171e-06,4.05691169901444e-06,-1.30283115308179e-06,-2.06433415879607e-06,1.98285002711462e-06,-1.73017499838408e-06,2.86719157914184e-06,1.14477781722862e-07,-2.71985518744677e-06,2.86466208474088e-06,1.74306907779942e-06,8.59070321620282e-05,-1.38524015139196e-09,-5.6347351063104e-12,-5.78745895658705e-05,-2.79089954226561e-05,1.59305429670328e-05,-4.65494558693149e-05,-3.61761939097544e-05,9.95121736903528e-05,3.50509220093102e-05,1.00705631895782e-05,3.42734867360041e-05,1.55739930968696e-07,1.00337047214641e-05,1.71020427174609e-06,0.000280342926261712
"london","p_G_D_CHR",-0.00408180129255202,-0.000394951010107676,4.64631233577963e-05,-3.96839603690469e-05,3.62518544083366e-05,-3.8208999660491e-05,-0.000198853666918627,5.74168040818391e-05,6.32988491220185e-05,-0.000141291371358921,0.000141714384917077,-0.000199887860706979,0.000151289151330212,2.83138084342462e-05,-0.0176648183861952,-3.57245247831102e-07,1.48258934957486e-07,-0.000264524599708338,-0.00434120294232176,-4.65494558693149e-05,0.0296330436925834,0.00174696540474733,-0.0143204454504971,0.00114874475740124,-0.000514559538574873,-0.000521185303710621,-1.91787689872192e-06,-0.00137106649708977,-8.09993132586831e-05,0.00938105983932086
"london","p_H",-9.88945199633927e-05,8.1974467347263e-06,-1.96672484487116e-05,-3.45382936363326e-05,-1.51115354995883e-05,-3.47459368994553e-05,3.68197873289361e-05,-1.19203269307526e-05,-1.06900808733995e-05,-5.32261936054301e-05,3.16265970414516e-05,-7.02375857060913e-05,-9.66434353656774e-07,-2.94801806584059e-05,-0.00242213939528802,-5.76587462737335e-08,2.46493703807387e-08,0.000870349432027497,0.000899622096197175,-3.61761939097544e-05,0.00174696540474733,0.00174766324621497,-0.000292156619508682,-0.000537643154051584,-0.000481641336696142,-0.000210121320648339,-1.04395093078421e-05,0.00135127049177722,-1.68870151186122e-05,-0.00751665529101388
"london","p_H_CHR",0.00434040664617163,0.000218374467253649,-0.000225219747547642,1.76433005035974e-05,-2.27978616465892e-05,-5.34100030447641e-05,0.000328882667002706,-2.63139711697676e-05,-4.01053922638671e-05,2.8774333003732e-05,-3.60857689100397e-05,5.44512472880219e-05,-4.88690022727906e-06,-4.83758130096409e-05,-0.00224858201048295,7.39296005818822e-09,-8.11183070786689e-08,0.00230133700113004,0.00331405182353176,9.95121736903528e-05,-0.0143204454504971,-0.000292156619508682,0.0232588156009555,-0.00153370091145838,-1.20095691003304e-05,-0.00209985491847296,-6.26573771456241e-06,0.0013431545061716,2.08602528065594e-06,-0.126040239199159
"london","p_H_D",-0.000555828875531719,-4.51763443004052e-05,8.31367945457249e-05,-2.11985422732163e-05,2.52127990635553e-05,-5.62427948861779e-06,-3.83125452470483e-06,1.88029756175874e-05,-1.43862961292935e-05,2.17660321423463e-05,-5.36721532276544e-05,5.2260790628224e-05,-5.18025449350975e-05,1.36584136753424e-05,0.00100966545871935,-7.9250906231034e-09,1.13082959552784e-08,-0.00245028803065495,-0.000875702878037411,3.50509220093102e-05,0.00114874475740124,-0.000537643154051584,-0.00153370091145838,0.00272155638378653,7.68317132081682e-05,-0.00160627020119868,4.54448495473673e-06,-0.00117029170957355,-5.59867780585994e-06,0.070099879348438
"london","p_ICU",0.000354188236653583,-3.71988680416076e-05,-5.9997294982254e-05,-1.77902646065974e-06,-9.93798153542134e-06,1.22340577248828e-05,-2.61153503737595e-05,2.65864026842293e-06,8.75207990277188e-06,-5.54604893175147e-06,-8.26410703223835e-06,6.92056480719526e-06,-1.11422875938336e-05,3.20057910496778e-06,0.00129716399701359,3.03985234767421e-08,-1.3538575395997e-08,-0.000234332467200491,-0.00240720273928483,1.00705631895782e-05,-0.000514559538574873,-0.000481641336696142,-1.20095691003304e-05,7.68317132081682e-05,0.00110569924435894,0.000869501446877792,1.5478323414267e-06,-0.000123350499027993,1.34046815857203e-05,-0.0338463267837152
"london","p_ICU_D",-0.00102268865537445,-0.000187624498507748,-0.000185992720242494,1.86309435747751e-05,-0.000147833278024363,6.65519975043944e-05,6.15164432535083e-05,-7.19578518064612e-06,3.43989121301778e-05,-2.34297437681472e-05,-1.38429771238554e-06,-4.69953772091702e-05,5.76305567113867e-05,2.60170703085125e-05,0.00189267763357232,2.45233573008346e-08,-7.5620474188677e-09,0.000642009973811621,-0.000162753595139995,3.42734867360041e-05,-0.000521185303710621,-0.000210121320648339,-0.00209985491847296,-0.00160627020119868,0.000869501446877792,0.0112836698975216,-4.6678278125308e-07,-0.00070092737426395,6.76147406700759e-05,-0.100173071243907
"london","p_NC",4.57158741914403e-06,-5.29201050496869e-07,3.61639833789504e-07,2.92836234338494e-07,9.13918061683518e-08,1.02333254773226e-07,-3.49184323232136e-07,-1.8861199458087e-08,2.92093688275789e-07,1.71419561232458e-07,5.02711404065607e-08,4.35304254583143e-10,2.47847455461684e-07,2.63812800892595e-07,1.95172531194845e-06,2.46626425987841e-10,-1.39500404506537e-10,-9.35107920231581e-06,-1.45253455496015e-05,1.55739930968696e-07,-1.91787689872192e-06,-1.04395093078421e-05,-6.26573771456241e-06,4.54448495473673e-06,1.5478323414267e-06,-4.6678278125308e-07,2.20553558054424e-07,-1.63820656543075e-05,-3.15921206769962e-07,0.000469144141019231
"london","p_W_D",-0.000823745592632274,9.68468815383742e-05,-0.000217683472983408,-0.000124056239610732,9.96821324813612e-05,-1.24216732497059e-05,0.000280011413889987,-4.17160029285519e-05,-5.44301969411731e-06,-5.03840998500989e-05,0.000107221425490358,-0.000129641289256359,5.11021589562826e-05,-1.41310859651392e-05,0.000582840974549733,-5.72098964354594e-08,2.82314361554147e-08,0.000597255642318448,0.00121221662151236,1.00337047214641e-05,-0.00137106649708977,0.00135127049177722,0.0013431545061716,-0.00117029170957355,-0.000123350499027993,-0.00070092737426395,-1.63820656543075e-05,0.0150421069751751,3.02539471514705e-05,-0.18710477877454
"london","rho_pillar2_tests",3.39212304678292e-06,-7.07286067356647e-08,4.31402014096424e-08,4.96111743064195e-07,-1.95144756794707e-07,3.88911487736298e-06,7.19416917934171e-06,-2.92538787639482e-07,-1.38128657828876e-06,4.93696197483788e-06,-5.91410973286821e-06,2.49134510594693e-06,-1.2204542759672e-06,8.55866122731529e-07,0.000124284968416604,1.74246600252108e-09,-4.83920909426541e-10,8.69606363710232e-06,5.65090161563981e-05,1.71020427174609e-06,-8.09993132586831e-05,-1.68870151186122e-05,2.08602528065594e-06,-5.59867780585994e-06,1.34046815857203e-05,6.76147406700759e-05,-3.15921206769962e-07,3.02539471514705e-05,1.23637943961666e-05,-0.00262106241559649
"london","start_date",-0.0181574862664046,-0.00252808542683043,0.0704290447514999,0.00316955988549326,-0.00662266354316769,-0.00165047242081382,-0.0566662409219002,0.00392623103811002,-0.00259807082125227,0.00083109162535842,0.00157669694135692,-0.00323031972226273,0.00250528371475067,-0.000593982973801812,0.236893118313225,2.86473532979887e-06,-1.52381652668151e-06,-0.0877983491935721,0.133252893458155,0.000280342926261712,0.00938105983932086,-0.00751665529101388,-0.126040239199159,0.070099879348438,-0.0338463267837152,-0.100173071243907,0.000469144141019231,-0.18710477877454,-0.00262106241559649,55.5046823678094
"east_of_england","alpha_D",0.0175103652921905,-0.000177228953527149,7.86942277607523e-05,7.65863751465788e-05,2.44175302866074e-06,-6.76920990744055e-05,-0.000383388596244967,1.99899505009608e-05,5.19680111775856e-05,-0.00021743049747425,0.000136561257835525,-4.23557125528192e-05,-9.57290428465051e-05,7.30717842902349e-06,-0.00293897242097923,6.46310987902614e-08,-1.51078721495465e-08,0.00013891950191311,-0.000774705120522529,0.000388334845088871,0.00266708114735669,0.00172183739071621,-0.00213560933438958,-0.000289089890135946,0.000474008910303816,0.000455656041142031,-2.28943903519342e-06,-0.000187590106760611,6.15852069126333e-06,0.035088075995434
"east_of_england","alpha_H",-0.000177228953527149,8.01083762381181e-05,-2.63177078885627e-05,-3.87018762539668e-06,-3.01329700952952e-06,-8.56398664047233e-07,5.82857587740361e-05,-6.63309502589493e-06,-5.80538371126594e-06,-1.69680682133709e-06,-1.66740719747928e-06,7.35460223258986e-06,-1.06280770318432e-05,7.13074148147466e-06,0.000664362590071385,1.09613239037598e-09,1.24838797119224e-09,0.000104985905514044,0.000173360750215384,-1.76703107218651e-05,-2.99459755204051e-05,1.60002228907936e-05,-0.000225223949843799,-9.2978565344414e-05,-2.10178015483491e-05,-0.000158918748732986,-3.60139364979039e-07,0.000124983633714784,8.18321115638258e-07,-0.00558415655831785
"east_of_england","beta1",7.86942277607523e-05,-2.63177078885627e-05,0.000363005739214239,2.06625424140871e-06,8.49965356552742e-06,-4.85565812502187e-06,-0.000380704672665258,2.83249488793421e-05,-5.68696788828626e-06,-1.24214157177394e-06,1.36211322200714e-05,-9.60237304394057e-06,-2.31769130872329e-05,2.58102711696661e-05,-0.000794470542894347,-7.56693689154246e-09,2.75076962252687e-09,-0.000100215448198766,-0.000277931887501961,6.99314553478054e-06,0.000322388187235925,0.000145535209313297,-0.000462416886683657,0.00012840117458368,2.03213655277753e-05,0.000390123076284279,-7.82394180383957e-07,-0.000236893250015591,1.58256621265219e-06,0.0991603734642139
"east_of_england","beta10",7.65863751465788e-05,-3.87018762539668e-06,2.06625424140871e-06,3.76552118020056e-05,-3.59112198714696e-05,4.74708366117587e-06,2.64751501132801e-06,2.86610755252023e-06,4.13461497783264e-06,-1.75854447990403e-06,-1.0359688087833e-06,-1.69450901433527e-06,1.93899648819161e-05,-4.3761229892553e-05,-0.000195452133851604,2.62145295518791e-09,-9.78073196091836e-10,-5.74806406324767e-05,-4.99141225999356e-05,-1.07198278394926e-06,0.000139704176624149,4.3108414134693e-05,-0.000196758027823186,4.37524228773805e-05,4.08842298899128e-06,-1.99206453815815e-05,3.23561538238138e-07,0.000151748972734396,-1.77007283856116e-06,0.00462927846122896
"east_of_england","beta11",2.44175302866074e-06,-3.01329700952952e-06,8.49965356552742e-06,-3.59112198714696e-05,6.13891285099892e-05,-1.34230415516577e-05,-2.35596282263674e-05,-1.45855766632522e-06,-3.1877279701248e-06,5.54227566075803e-06,4.95268778356382e-06,-2.22920650471722e-06,-1.07593412177521e-05,3.23174008192667e-05,-1.27093066709185e-05,-1.80789413850845e-09,8.29836011193991e-10,5.3728579391971e-05,4.62695630609383e-05,-8.60887884866344e-07,-0.000153203174010088,-9.21464787869549e-05,0.000206470628226512,-9.20673022704898e-06,9.90246067555325e-07,-2.12906764010961e-05,-1.67234552569412e-07,-8.93952312767731e-05,3.46636279990727e-06,-0.00261257996371868
"east_of_england","beta12",-6.76920990744055e-05,-8.56398664047233e-07,-4.85565812502187e-06,4.74708366117587e-06,-1.34230415516577e-05,8.16310574215598e-06,7.27270158763181e-06,-2.2507093176818e-07,2.3855037765749e-06,-2.75050171322138e-07,-3.56106732057043e-06,2.51082262531837e-06,2.29555164350318e-06,-4.26396630661511e-06,-6.17112304887706e-05,-5.28965545549845e-10,-7.66614558082809e-11,-1.33031377138188e-05,4.31674507173571e-05,1.28821804680561e-06,2.948425951317e-05,-1.13308099345943e-05,3.07346533747993e-06,-4.8223738653068e-06,-3.52144776993209e-06,1.6273865179224e-05,5.22585280995252e-07,-1.41366439824895e-05,-5.79547983277114e-07,-0.00109636467745825
"east_of_england","beta2",-0.000383388596244967,5.82857587740361e-05,-0.000380704672665258,2.64751501132801e-06,-2.35596282263674e-05,7.27270158763181e-06,0.000806335272754776,-6.72041038978065e-05,2.62369279108381e-05,-1.30000744016222e-05,-7.73668126940633e-06,2.75492026990092e-05,-5.30530790979218e-06,-3.36798529801926e-05,0.0018051029215694,6.28750370236296e-09,-3.69960463509201e-09,3.26948925120393e-05,0.000890411759371861,3.25762102245375e-06,-0.00042248892954907,-0.000192544399684833,0.000811272528859021,0.000122258109156865,-0.000154627929653102,-7.63843900065015e-05,-9.00045791778708e-07,5.82413903806539e-05,-7.3397633168e-06,-0.0706373926918206
"east_of_england","beta3",1.99899505009608e-05,-6.63309502589493e-06,2.83249488793421e-05,2.86610755252023e-06,-1.45855766632522e-06,-2.2507093176818e-07,-6.72041038978065e-05,1.37281485915206e-05,-6.86901814096943e-06,6.31892214080568e-06,-2.39457788098481e-07,-5.14579416670683e-06,4.12784397576244e-06,-1.78625338482329e-06,-0.000213224877530735,-6.23884941978635e-10,4.86742377229978e-11,-2.71803727227073e-05,-9.46033218391629e-06,-2.02164999363319e-06,9.76576263746363e-05,5.66217536891173e-05,-8.40087786612439e-05,1.44774497741106e-05,-1.40951876545328e-05,7.15535805712785e-05,4.10979777589092e-08,-2.40246866179744e-05,5.78497279696702e-07,0.00789215145358795
"east_of_england","beta4",5.19680111775856e-05,-5.80538371126594e-06,-5.68696788828626e-06,4.13461497783264e-06,-3.1877279701248e-06,2.3855037765749e-06,2.62369279108381e-05,-6.86901814096943e-06,1.84253472447311e-05,-1.13840785885508e-05,5.51096776451058e-06,-3.44338074042054e-06,4.14414793668734e-06,-4.48407477908651e-06,-0.000306703747392125,5.13785337522589e-11,-1.34173232597658e-09,-2.01970495131983e-05,3.60755148722543e-05,-6.46328423664076e-06,0.000143109143818163,4.33791761599173e-05,-5.81551338503407e-06,8.31102135298e-05,-6.18006990129979e-05,1.64776412107172e-05,-1.16185808427507e-07,0.000112947991274419,-8.15214255127628e-08,-0.000538041115294121
"east_of_england","beta5",-0.00021743049747425,-1.69680682133709e-06,-1.24214157177394e-06,-1.75854447990403e-06,5.54227566075803e-06,-2.75050171322138e-07,-1.30000744016222e-05,6.31892214080568e-06,-1.13840785885508e-05,3.01573194373144e-05,-1.46405461837107e-05,9.83015310922028e-06,-3.14994379937603e-06,1.7216084018366e-06,4.41076916433372e-05,-2.40431633352075e-10,-2.91994794231674e-10,5.53015074587459e-06,-2.59524267061928e-05,-9.17780290619733e-06,-0.000114214671754266,-0.000146305385048624,0.0002195524727956,-4.70994212267182e-05,5.5036109216855e-05,3.13513448942168e-05,1.36050626957723e-06,3.88899403522796e-05,-4.53440963425061e-07,-0.00330330355925774
