"region","name","alpha_D","alpha_H","beta1","beta10","beta11","beta12","beta2","beta3","beta4","beta5","beta6","beta7","beta8","beta9","eps","m_CHR","m_CHW","mu_D","mu_ICU","p_G_D","p_G_D_CHR","p_H","p_H_CHR","p_H_D","p_ICU","p_ICU_D","p_NC","p_W_D","rho_pillar2_tests","start_date"
"london","alpha_D",0.0171378285199571,-2.39788807971913e-05,-0.000120752884073578,-3.08346507019052e-05,-2.23901686555152e-05,4.10482081992374e-05,-0.000213015639359294,5.93210163255922e-05,-5.6265159386987e-05,2.95317283329284e-05,-1.78051858143759e-05,3.38399301034302e-05,-1.40573937421627e-05,-2.6868954344844e-05,0.00217863357361955,1.57205737265894e-07,-8.61232766379284e-08,0.000757634702169143,0.000892095732638733,9.67796156800957e-05,-0.00408180129255202,-9.88945199633927e-05,0.00434040664617163,-0.000555828875531719,0.000354188236653583,-0.00102268865537445,4.57158741914403e-06,-0.000823745592632274,3.39212304678292e-06,-0.0181574862664046
"london","alpha_H",-2.39788807971913e-05,8.51325664917112e-05,-6.85274867196546e-06,1.15089241592895e-06,1.27339333936961e-08,1.97375223609847e-06,3.1924641005829e-05,-5.43768741760168e-06,-1.36360372831092e-06,2.39867630074272e-06,4.42188240997254e-06,-1.13183271718624e-08,1.81857996144873e-07,-3.35777233334723e-06,0.000341250614372702,3.91668457240299e-09,-3.98426308925632e-10,0.000131271713326373,0.000105129095322543,-5.81046446398117e-06,-0.000394951010107676,8.1974467347263e-06,0.000218374467253649,-4.51763443004052e-05,-3.71988680416076e-05,-0.000187624498507748,-5.29201050496869e-07,9.68468815383742e-05,-7.07286067356647e-08,-0.00252808542683043
"london","beta1",-0.000120752884073578,-6.85274867196546e-06,0.000111753151540321,5.18399925051735e-06,-8.2388090400978e-06,1.21881071671271e-06,-8.81607449643855e-05,5.29161243780359e-06,-3.4973534495464e-06,3.82783123400696e-06,1.65587648640422e-06,-4.94970758096683e-06,5.17264110060196e-06,-5.18941428037572e-07,0.000326078561194121,3.70261264904326e-09,-1.74403203227251e-09,-9.02202642207895e-05,0.000223732280364177,-4.2051732847572e-07,4.64631233577963e-05,-1.96672484487116e-05,-0.000225219747547642,8.31367945457249e-05,-5.9997294982254e-05,-0.000185992720242494,3.61639833789504e-07,-0.000217683472983408,4.31402014096424e-08,0.0704290447514999
"london","beta10",-3.08346507019052e-05,1.15089241592895e-06,5.18399925051735e-06,3.72221182050242e-05,-3.86800984776303e-05,5.40870849646967e-06,-7.42057348240435e-06,-7.76374098264699e-07,1.65617573980679e-06,2.22405242910858e-06,-2.46502752743672e-06,2.04579340097336e-07,1.74276698580205e-05,-3.13251632386547e-05,-0.000185863698419943,3.97639147151755e-09,-1.85495626303805e-09,1.01937299492779e-05,-6.35678416791214e-05,-2.35906571388171e-06,-3.96839603690469e-05,-3.45382936363326e-05,1.76433005035974e-05,-2.11985422732163e-05,-1.77902646065974e-06,1.86309435747751e-05,2.92836234338494e-07,-0.000124056239610732,4.96111743064195e-07,0.00316955988549326
"london","beta11",-2.23901686555152e-05,1.27339333936961e-08,-8.2388090400978e-06,-3.86800984776303e-05,6.62814161324004e-05,-1.24955588847714e-05,1.27437169126872e-05,-2.7452497006276e-07,-3.78686017198205e-07,-8.54931430855531e-07,4.84898216505925e-06,-3.63415287477459e-06,-5.0614768908721e-06,2.41116255382058e-05,1.06368911115451e-05,-6.81645072670672e-09,4.14126705135548e-09,4.64759482476578e-06,0.000141479267391066,4.05691169901444e-06,3.62518544083366e-05,-1.51115354995883e-05,-2.27978616465892e-05,2.52127990635553e-05,-9.93798153542134e-06,-0.000147833278024363,9.13918061683518e-08,9.96821324813612e-05,-1.95144756794707e-07,-0.00662266354316769
"london","beta12",4.10482081992374e-05,1.97375223609847e-06,1.21881071671271e-06,5.40870849646967e-06,-1.24955588847714e-05,8.85071986065617e-06,-2.88525457332599e-06,3.44123655930528e-07,2.98931418002107e-07,2.32064017149562e-06,-3.48882188116167e-06,3.44739671676269e-06,2.22980013701865e-07,-6.74908706403783e-07,8.57585742551332e-05,3.7377629993492e-09,-1.81316012715383e-09,-2.12011744940768e-05,-3.28737640812941e-05,-1.30283115308179e-06,-3.8208999660491e-05,-3.47459368994553e-05,-5.34100030447641e-05,-5.62427948861779e-06,1.22340577248828e-05,6.65519975043944e-05,1.02333254773226e-07,-1.24216732497059e-05,3.88911487736298e-06,-0.00165047242081382
"london","beta2",-0.000213015639359294,3.1924641005829e-05,-8.81607449643855e-05,-7.42057348240435e-06,1.27437169126872e-05,-2.88525457332599e-06,0.000195489956697582,-2.52682087732431e-05,1.0358794273665e-05,-3.76051073518806e-06,1.59967245732693e-06,2.50424383814221e-08,-4.72564124339726e-06,4.8481703753716e-06,-0.000325564960763726,-9.94114408434068e-09,4.85361207414595e-09,5.11595849099186e-05,-5.22124898032912e-05,-2.06433415879607e-06,-0.000198853666918627,3.68197873289361e-05,0.000328882667002706,-3.83125452470483e-06,-2.61153503737595e-05,6.15164432535083e-05,-3.49184323232136e-07,0.000280011413889987,7.19416917934171e-06,-0.0566662409219002
"london","beta3",5.93210163255922e-05,-5.43768741760168e-06,5.29161243780359e-06,-7.76374098264699e-07,-2.7452497006276e-07,3.44123655930528e-07,-2.52682087732431e-05,6.72428265316249e-06,-4.14373232450246e-06,3.73472333553329e-06,-2.11564301436801e-06,1.42631599287838e-06,-3.49611070090516e-07,9.30235931538448e-07,4.58090875801625e-05,4.03131426083658e-10,-4.18394047355995e-10,-1.36369021066545e-05,9.73862094244307e-06,1.98285002711462e-06,5.74168040818391e-05,-1.19203269307526e-05,-2.63139711697676e-05,1.88029756175874e-05,2.65864026842293e-06,-7.19578518064612e-06,-1.8861199458087e-08,-4.17160029285519e-05,-2.92538787639482e-07,0.00392623103811002
"london","beta4",-5.6265159386987e-05,-1.36360372831092e-06,-3.4973534495464e-06,1.65617573980679e-06,-3.78686017198205e-07,2.98931418002107e-07,1.0358794273665e-05,-4.14373232450246e-06,5.23016662818945e-06,-6.13359901052039e-06,3.86715224066564e-06,-2.06861680903847e-06,2.41690135919848e-06,-3.56201940189986e-07,-0.000119792568793766,-5.51655999779423e-10,3.19775258013133e-11,2.75354599618181e-06,-6.68063836205927e-05,-1.73017499838408e-06,6.32988491220185e-05,-1.06900808733995e-05,-4.01053922638671e-05,-1.43862961292935e-05,8.75207990277188e-06,3.43989121301778e-05,2.92093688275789e-07,-5.44301969411731e-06,-1.38128657828876e-06,-0.00259807082125227
"london","beta5",2.95317283329284e-05,2.39867630074272e-06,3.82783123400696e-06,2.22405242910858e-06,-8.54931430855531e-07,2.32064017149562e-06,-3.76051073518806e-06,3.73472333553329e-06,-6.13359901052039e-06,1.71985925822476e-05,-1.54496505539885e-05,9.66251584900795e-06,-3.59291509696126e-06,6.13645249404333e-07,0.000231551875104594,3.27876204304289e-09,-1.32239083377482e-09,-3.69341687008379e-05,6.26501747552813e-05,2.86719157914184e-06,-0.000141291371358921,-5.32261936054301e-05,2.8774333003732e-05,2.17660321423463e-05,-5.54604893175147e-06,-2.34297437681472e-05,1.71419561232458e-07,-5.03840998500989e-05,4.93696197483788e-06,0.00083109162535842
