"date","region","phe_admissions","phe_occupied_mv_beds","phe_patients","react_positive","react_samples","ons_death_hospital","ons_death_carehome","ons_death_community","death_0","death_55","death_65","death_75","pillar2_negatives_total_pcr_over25","pillar2_positives_over25","pillar2_positives_lft_over25"
"2020-03-16","east_of_england",NA,NA,NA,NA,NA,1,0,1,0,1,0,0,NA,NA,NA
"2020-03-17","east_of_england",NA,NA,NA,NA,NA,2,0,0,0,1,0,1,NA,NA,NA
"2020-03-18","east_of_england",NA,NA,NA,NA,NA,2,0,0,0,0,1,1,NA,NA,NA
"2020-03-19","east_of_england",23,NA,NA,NA,NA,5,0,1,1,1,0,3,NA,NA,NA
"2020-03-20","east_of_england",23,NA,59,NA,NA,2,0,0,0,1,1,0,NA,NA,NA
"2020-03-21","east_of_england",37,NA,74,NA,NA,9,0,0,0,0,1,8,NA,NA,NA
"2020-03-22","east_of_england",49,NA,95,NA,NA,10,0,1,1,1,4,4,NA,NA,NA
"2020-03-23","east_of_england",46,NA,133,NA,NA,12,0,1,0,1,3,8,NA,NA,NA
"2020-03-24","east_of_england",106,NA,154,NA,NA,21,0,2,0,0,2,19,NA,NA,NA
"2020-03-25","east_of_england",76,NA,196,NA,NA,23,0,1,0,3,5,15,NA,NA,NA
"2020-03-26","east_of_england",160,NA,295,NA,NA,38,1,2,1,1,11,25,NA,NA,NA
"2020-03-27","east_of_england",94,NA,341,NA,NA,36,4,1,2,3,7,24,NA,NA,NA
"2020-03-28","east_of_england",124,NA,429,NA,NA,35,2,4,1,3,6,25,NA,NA,NA
"2020-03-29","east_of_england",201,NA,482,NA,NA,49,3,2,3,2,17,27,NA,NA,NA
"2020-03-30","east_of_england",148,NA,628,NA,NA,50,2,4,2,6,4,38,NA,NA,NA
"2020-03-31","east_of_england",146,NA,793,NA,NA,76,4,2,2,4,15,55,NA,NA,NA
"2020-04-01","east_of_england",167,NA,833,NA,NA,76,5,4,5,5,17,49,NA,NA,NA
"2020-04-02","east_of_england",184,119,841,NA,NA,69,7,3,4,3,11,51,NA,NA,NA
"2020-04-03","east_of_england",192,162,914,NA,NA,83,9,3,6,7,15,55,NA,NA,NA
"2020-04-04","east_of_england",163,171,988,NA,NA,79,6,6,1,6,13,59,NA,NA,NA
"2020-04-05","east_of_england",220,219,1230,NA,NA,87,15,9,5,7,18,57,NA,NA,NA
"2020-04-06","east_of_england",231,204,1220,NA,NA,78,10,3,2,6,18,52,NA,NA,NA
"2020-04-07","east_of_england",164,255,1431,NA,NA,111,18,7,3,11,19,78,NA,NA,NA
"2020-04-08","east_of_england",219,276,1435,NA,NA,122,14,3,6,11,25,80,NA,NA,NA
"2020-04-09","east_of_england",192,265,1411,NA,NA,92,19,8,3,9,19,61,NA,NA,NA
"2020-04-10","east_of_england",215,280,1500,NA,NA,77,23,8,5,4,15,53,NA,NA,NA
"2020-04-11","east_of_england",165,283,1497,NA,NA,105,23,3,2,9,21,73,NA,NA,NA
"2020-04-12","east_of_england",144,291,1679,NA,NA,107,33,5,3,10,20,74,NA,NA,NA
"2020-04-13","east_of_england",214,264,1471,NA,NA,91,22,5,1,11,20,59,NA,NA,NA
"2020-04-14","east_of_england",187,303,1592,NA,NA,74,23,3,7,7,10,50,NA,NA,NA
"2020-04-15","east_of_england",113,308,1621,NA,NA,83,31,3,6,5,10,62,NA,NA,NA
"2020-04-16","east_of_england",133,308,1577,NA,NA,91,30,3,4,6,17,64,NA,NA,NA
"2020-04-17","east_of_england",154,320,1534,NA,NA,89,45,6,5,13,15,56,NA,NA,NA
"2020-04-18","east_of_england",191,312,1529,NA,NA,63,39,5,1,5,9,48,NA,NA,NA
"2020-04-19","east_of_england",148,306,1579,NA,NA,74,24,4,3,7,11,53,NA,NA,NA
"2020-04-20","east_of_england",126,294,1587,NA,NA,76,26,5,7,9,10,50,NA,NA,NA
"2020-04-21","east_of_england",148,279,1544,NA,NA,72,27,3,5,1,15,51,NA,NA,NA
"2020-04-22","east_of_england",120,276,1511,NA,NA,65,41,2,4,7,9,45,NA,NA,NA
"2020-04-23","east_of_england",128,267,1472,NA,NA,49,34,1,3,5,5,36,NA,NA,NA
"2020-04-24","east_of_england",141,263,1404,NA,NA,65,35,5,0,7,4,54,NA,NA,NA
"2020-04-25","east_of_england",128,260,1384,NA,NA,52,31,4,4,6,12,30,NA,NA,NA
"2020-04-26","east_of_england",148,253,1422,NA,NA,54,25,3,1,5,11,37,NA,NA,NA
"2020-04-27","east_of_england",127,231,1413,NA,NA,47,29,3,2,5,9,31,NA,NA,NA
"2020-04-28","east_of_england",184,223,1389,NA,NA,63,22,3,1,5,12,45,NA,NA,NA
"2020-04-29","east_of_england",157,210,1319,NA,NA,37,20,5,1,6,5,25,NA,NA,NA
"2020-04-30","east_of_england",198,202,1253,NA,NA,47,30,5,0,5,8,34,NA,NA,NA
"2020-05-01","east_of_england",127,193,1211,0,18,58,25,1,4,4,9,41,NA,NA,NA
"2020-05-02","east_of_england",111,183,1190,0,4,29,18,2,0,0,5,24,NA,NA,NA
"2020-05-03","east_of_england",166,179,1223,0,4,44,25,2,2,3,6,33,NA,NA,NA
"2020-05-04","east_of_england",106,176,1138,0,16,27,18,4,0,3,2,22,NA,NA,NA
"2020-05-05","east_of_england",90,176,1160,0,95,38,19,0,4,2,9,23,NA,NA,NA
"2020-05-06","east_of_england",128,171,1106,0,42,35,20,3,1,2,8,24,NA,NA,NA
"2020-05-07","east_of_england",116,152,1084,0,66,37,18,1,0,2,7,28,NA,NA,NA
"2020-05-08","east_of_england",70,142,1022,0,13,35,10,2,0,1,10,24,NA,NA,NA
"2020-05-09","east_of_england",101,144,1032,1,183,28,22,2,0,4,5,19,NA,NA,NA
"2020-05-10","east_of_england",71,142,1076,0,17,27,14,4,0,4,2,21,NA,NA,NA
