"date","region","phe_admissions","phe_occupied_mv_beds","phe_patients","react_positive","react_samples","ons_death_hospital","ons_death_carehome","ons_death_community","death_0","death_55","death_65","death_75","pillar2_negatives_total_pcr_over25","pillar2_positives_over25","pillar2_positives_lft_over25"
"2020-05-11","east_of_england",88,137,1069,1,217,20,14,1,0,2,4,14,NA,NA,NA
"2020-05-12","east_of_england",116,134,1049,0,175,24,18,3,0,4,1,19,NA,NA,NA
"2020-05-13","east_of_england",72,129,1014,0,187,31,13,1,0,1,6,24,NA,NA,NA
"2020-05-14","east_of_england",88,125,979,2,327,25,20,2,1,4,4,16,NA,NA,NA
"2020-05-15","east_of_england",92,127,952,0,731,21,17,0,1,2,4,14,NA,NA,NA
"2020-05-16","east_of_england",72,125,916,1,1067,24,12,2,3,2,4,15,NA,NA,NA
"2020-05-17","east_of_england",85,125,934,4,1202,24,16,1,2,2,2,18,NA,NA,NA
"2020-05-18","east_of_england",81,121,924,2,940,29,13,0,3,2,5,19,NA,NA,NA
"2020-05-19","east_of_england",86,122,913,0,1451,19,10,1,0,0,3,16,NA,NA,NA
"2020-05-20","east_of_england",93,113,888,1,1458,32,17,2,0,2,5,25,NA,NA,NA
"2020-05-21","east_of_england",77,109,866,2,1684,22,8,0,0,2,5,15,NA,NA,NA
"2020-05-22","east_of_england",79,104,831,1,1772,21,6,0,0,5,1,15,NA,NA,NA
"2020-05-23","east_of_england",39,98,816,0,1418,16,10,2,3,1,2,10,NA,NA,NA
"2020-05-24","east_of_england",52,88,795,1,734,24,4,3,0,0,3,21,NA,NA,NA
"2020-05-25","east_of_england",51,92,798,0,295,21,14,1,0,1,2,18,NA,NA,NA
"2020-05-26","east_of_england",85,86,755,0,672,19,6,1,0,2,7,10,NA,NA,NA
"2020-05-27","east_of_england",57,85,737,0,653,10,13,0,1,1,4,4,NA,NA,NA
"2020-05-28","east_of_england",53,78,701,1,534,20,10,3,1,1,3,15,NA,NA,NA
"2020-05-29","east_of_england",54,68,603,0,227,21,9,0,2,1,1,17,NA,NA,NA
"2020-05-30","east_of_england",43,65,622,0,161,11,6,1,1,0,0,10,NA,NA,NA
"2020-05-31","east_of_england",29,63,597,0,235,11,9,0,0,0,1,10,NA,NA,NA
"2020-06-01","east_of_england",58,64,614,0,63,12,5,0,0,0,2,10,3894,71,NA
"2020-06-02","east_of_england",60,61,574,NA,NA,17,6,1,0,1,2,14,4966,61,NA
"2020-06-03","east_of_england",46,60,547,NA,NA,12,8,0,0,1,0,11,4457,59,NA
"2020-06-04","east_of_england",58,54,503,NA,NA,10,6,3,0,0,1,9,5308,48,NA
"2020-06-05","east_of_england",44,49,490,NA,NA,15,7,1,1,1,1,12,5262,66,NA
"2020-06-06","east_of_england",30,46,503,NA,NA,5,3,1,0,0,1,4,3336,61,NA
"2020-06-07","east_of_england",32,40,453,NA,NA,8,5,0,0,1,1,6,2300,17,NA
"2020-06-08","east_of_england",28,45,457,NA,NA,8,5,0,0,1,3,4,4780,66,NA
"2020-06-09","east_of_england",44,42,405,NA,NA,7,6,0,0,0,1,6,5992,74,NA
"2020-06-10","east_of_england",39,48,390,NA,NA,11,8,0,0,0,1,10,4949,72,NA
"2020-06-11","east_of_england",42,43,376,NA,NA,1,3,0,0,1,0,0,4226,38,NA
"2020-06-12","east_of_england",30,41,364,NA,NA,7,5,0,0,1,0,6,3677,33,NA
"2020-06-13","east_of_england",32,45,364,NA,NA,7,0,0,0,1,2,4,1885,32,NA
"2020-06-14","east_of_england",38,45,348,NA,NA,6,7,1,2,0,1,3,1613,20,NA
"2020-06-15","east_of_england",57,39,318,NA,NA,8,1,0,0,0,1,7,2583,53,NA
"2020-06-16","east_of_england",33,42,363,NA,NA,2,5,0,0,0,0,2,2676,43,NA
"2020-06-17","east_of_england",43,39,387,NA,NA,8,1,2,0,1,1,6,2943,31,NA
"2020-06-18","east_of_england",38,35,363,NA,NA,4,2,0,1,1,1,1,3333,35,NA
"2020-06-19","east_of_england",28,34,393,0,70,8,5,0,0,1,1,6,2913,50,NA
"2020-06-20","east_of_england",19,31,352,1,754,5,3,0,0,1,1,3,1514,20,NA
"2020-06-21","east_of_england",22,29,348,3,743,6,1,0,0,0,0,6,1446,34,NA
"2020-06-22","east_of_england",43,57,369,0,1823,7,1,0,0,0,1,6,2656,39,NA
"2020-06-23","east_of_england",21,28,335,1,1850,9,3,0,0,1,2,6,3382,23,NA
"2020-06-24","east_of_england",20,28,346,2,1958,5,1,2,0,0,0,5,3189,34,NA
"2020-06-25","east_of_england",42,27,327,0,2326,4,5,0,0,0,0,4,3257,22,NA
"2020-06-26","east_of_england",32,24,313,2,2353,5,1,0,0,0,2,3,3059,33,NA
"2020-06-27","east_of_england",15,24,289,1,1995,10,1,1,0,1,2,7,1756,15,NA
"2020-06-28","east_of_england",9,24,288,0,1525,8,3,2,1,0,0,7,1590,10,NA
"2020-06-29","east_of_england",21,25,291,3,1948,5,5,1,0,1,0,4,3950,22,NA
"2020-06-30","east_of_england",20,24,264,2,1931,8,1,0,0,0,0,8,4411,13,NA
"2020-07-01","east_of_england",20,23,248,0,1441,2,3,0,0,1,1,0,4297,15,NA
"2020-07-02","east_of_england",22,23,231,0,1042,6,1,0,0,0,0,6,4253,31,NA
"2020-07-03","east_of_england",9,25,242,1,715,2,1,0,0,0,0,2,3253,28,NA
"2020-07-04","east_of_england",17,24,220,1,511,5,3,1,0,0,0,5,1860,20,NA
"2020-07-05","east_of_england",24,28,224,0,166,2,1,1,0,0,1,1,1738,22,NA
"2020-07-06","east_of_england",22,27,227,0,305,2,1,1,0,0,1,1,3984,22,NA
"2020-07-07","east_of_england",18,24,224,0,1,3,3,0,0,0,0,3,5288,23,NA
"2020-07-08","east_of_england",16,24,222,NA,NA,4,0,1,2,0,1,1,6050,46,NA
"2020-07-09","east_of_england",8,24,212,NA,NA,9,3,1,1,1,2,5,5513,33,NA
"2020-07-10","east_of_england",9,27,199,NA,NA,6,0,0,0,1,2,3,4045,34,NA
"2020-07-11","east_of_england",12,24,171,NA,NA,0,3,1,0,0,0,0,2011,21,NA
"2020-07-12","east_of_england",11,19,171,NA,NA,3,0,1,0,1,2,0,1716,27,NA
"2020-07-13","east_of_england",19,20,176,NA,NA,7,3,0,0,0,2,5,5159,42,NA
"2020-07-14","east_of_england",17,16,162,NA,NA,1,2,1,0,0,0,1,6278,47,NA
"2020-07-15","east_of_england",19,26,169,NA,NA,4,0,0,1,0,1,2,6969,29,NA
"2020-07-16","east_of_england",17,16,126,NA,NA,0,1,0,0,0,0,0,6666,37,NA
"2020-07-17","east_of_england",10,16,142,NA,NA,0,2,0,0,0,0,0,5495,28,NA
"2020-07-18","east_of_england",8,17,144,NA,NA,1,1,0,0,0,0,1,2312,17,NA
"2020-07-19","east_of_england",6,15,143,NA,NA,1,0,0,0,0,0,1,2278,13,NA
"2020-07-20","east_of_england",8,14,143,NA,NA,0,3,0,0,0,0,0,5490,50,NA
"2020-07-21","east_of_england",7,13,113,NA,NA,0,0,0,0,0,0,0,5997,40,NA
"2020-07-22","east_of_england",13,14,116,NA,NA,1,1,0,0,0,1,0,6701,34,NA
"2020-07-23","east_of_england",24,12,100,NA,NA,2,0,0,0,0,1,1,5929,27,NA
"2020-07-24","east_of_england",12,12,105,0,137,1,0,0,0,0,1,0,5706,50,NA
"2020-07-25","east_of_england",16,11,91,0,1112,1,0,0,0,0,1,0,3379,16,NA
"2020-07-26","east_of_england",7,10,105,0,1466,3,0,0,0,0,0,3,3369,14,NA
"2020-07-27","east_of_england",18,9,100,0,2239,1,1,0,0,0,0,1,7935,43,NA
"2020-07-28","east_of_england",9,10,94,0,2196,2,1,0,0,0,0,2,8176,33,NA
"2020-07-29","east_of_england",8,9,92,1,2040,2,1,0,0,0,0,2,9015,55,NA
"2020-07-30","east_of_england",8,8,82,1,2005,0,2,0,0,0,0,0,8304,38,NA
"2020-07-31","east_of_england",5,8,77,1,2000,0,2,1,0,0,0,0,6332,16,NA
"2020-08-01","east_of_england",2,9,85,0,1556,0,0,0,0,0,0,0,3005,13,NA
"2020-08-02","east_of_england",7,9,80,0,1248,0,0,0,0,0,0,0,2886,18,NA
"2020-08-03","east_of_england",7,8,73,0,1924,0,0,0,0,0,0,0,7773,41,NA
"2020-08-04","east_of_england",5,8,69,2,1634,2,1,1,0,0,0,2,8537,38,NA
"2020-08-05","east_of_england",5,8,70,0,1387,0,1,0,0,0,0,0,9053,42,NA
"2020-08-06","east_of_england",4,9,72,0,1000,0,1,1,0,0,0,0,8231,34,NA
"2020-08-07","east_of_england",10,9,60,0,800,1,0,0,1,0,0,0,6362,38,NA
"2020-08-08","east_of_england",6,11,59,1,547,0,2,0,0,0,0,0,3016,25,NA
"2020-08-09","east_of_england",3,9,59,0,360,1,1,0,0,0,0,1,2536,14,NA
"2020-08-10","east_of_england",8,8,63,0,652,1,1,0,0,0,0,1,7563,50,NA
"2020-08-11","east_of_england",7,8,61,0,2,1,0,1,0,0,0,1,8446,35,NA
"2020-08-12","east_of_england",1,8,56,NA,NA,0,3,0,0,0,0,0,8768,33,NA
"2020-08-13","east_of_england",6,9,57,NA,NA,1,0,0,0,1,0,0,8414,36,NA
"2020-08-14","east_of_england",8,6,52,NA,NA,1,0,0,0,0,0,1,7961,56,NA
"2020-08-15","east_of_england",2,8,60,NA,NA,3,1,0,0,0,0,3,3568,14,NA
"2020-08-16","east_of_england",4,7,54,NA,NA,0,0,0,0,0,0,0,2921,14,NA
"2020-08-17","east_of_england",5,8,57,NA,NA,0,0,0,0,0,0,0,8966,34,NA
"2020-08-18","east_of_england",4,6,47,NA,NA,2,0,0,0,0,1,1,10062,42,NA
"2020-08-19","east_of_england",4,6,49,NA,NA,2,0,0,0,0,0,2,10592,44,NA
"2020-08-20","east_of_england",2,6,47,0,61,1,1,0,0,0,0,1,10592,56,NA
"2020-08-21","east_of_england",3,6,40,0,136,0,0,0,0,0,0,0,8867,44,NA
"2020-08-22","east_of_england",2,7,34,2,1694,2,0,0,1,0,1,0,4060,23,NA
"2020-08-23","east_of_england",2,5,31,0,1539,1,0,0,0,0,0,1,3339,30,NA
"2020-08-24","east_of_england",0,5,35,0,2260,0,0,0,0,0,0,0,9164,50,NA
"2020-08-25","east_of_england",8,5,28,2,2153,0,1,0,0,0,0,0,10810,53,NA
"2020-08-26","east_of_england",4,5,37,1,2076,3,0,0,2,1,0,0,10595,62,NA
"2020-08-27","east_of_england",3,5,29,1,1986,1,0,0,0,0,0,1,9634,63,NA
"2020-08-28","east_of_england",3,4,30,2,1960,0,0,0,0,0,0,0,8746,66,NA
"2020-08-29","east_of_england",5,4,30,1,1542,0,0,0,0,0,0,0,4328,44,NA
"2020-08-30","east_of_england",1,3,30,1,682,0,0,1,0,0,0,0,3392,44,NA
"2020-08-31","east_of_england",0,3,31,0,1179,0,0,0,0,0,0,0,5416,58,NA
"2020-09-01","east_of_england",2,3,31,1,1555,0,0,0,0,0,0,0,11703,77,NA
"2020-09-02","east_of_england",8,3,31,1,1180,0,1,0,0,0,0,0,12023,116,NA
"2020-09-03","east_of_england",5,3,31,0,960,1,0,0,0,0,0,1,11455,107,NA
"2020-09-04","east_of_england",2,1,30,2,806,1,0,0,0,0,0,1,10473,90,NA
"2020-09-05","east_of_england",6,1,25,0,658,0,0,0,0,0,0,0,5039,69,NA
"2020-09-06","east_of_england",1,1,27,2,483,1,0,0,0,0,1,0,3373,45,NA
"2020-09-07","east_of_england",5,1,27,2,593,1,1,0,0,0,0,1,9203,98,NA
"2020-09-08","east_of_england",2,1,25,0,6,1,1,0,1,0,0,0,11980,126,NA
"2020-09-09","east_of_england",5,4,31,NA,NA,0,0,0,0,0,0,0,11815,84,NA
"2020-09-10","east_of_england",5,2,27,NA,NA,1,0,0,0,0,0,1,11677,112,NA
"2020-09-11","east_of_england",6,67,15,NA,NA,1,1,0,0,0,0,1,10974,81,NA
"2020-09-12","east_of_england",11,2,20,NA,NA,0,1,0,0,0,0,0,4128,49,NA
"2020-09-13","east_of_england",4,2,21,NA,NA,1,0,0,0,0,0,1,2443,30,NA
"2020-09-14","east_of_england",11,3,25,NA,NA,1,1,0,0,0,0,1,8230,64,NA
"2020-09-15","east_of_england",13,3,35,NA,NA,0,0,0,0,0,0,0,11963,97,NA
"2020-09-16","east_of_england",8,3,40,NA,NA,0,2,0,0,0,0,0,11457,72,NA
"2020-09-17","east_of_england",6,3,42,NA,NA,1,1,0,0,1,0,0,10195,79,NA
"2020-09-18","east_of_england",4,2,37,0,123,0,0,0,0,0,0,0,10221,102,NA
"2020-09-19","east_of_england",4,3,39,9,1670,1,0,0,1,0,0,0,3492,79,NA
"2020-09-20","east_of_england",6,2,38,2,1790,2,0,1,0,0,0,2,3238,93,NA
"2020-09-21","east_of_england",7,3,41,7,2192,0,1,0,0,0,0,0,7802,85,NA
"2020-09-22","east_of_england",11,3,42,5,2083,2,1,0,0,1,0,1,12331,115,NA
"2020-09-23","east_of_england",7,2,37,12,2115,1,0,0,0,0,0,1,11354,112,NA
"2020-09-24","east_of_england",13,4,41,5,2183,1,0,0,0,0,0,1,11707,142,NA
"2020-09-25","east_of_england",16,3,45,7,2186,0,3,0,0,0,0,0,10559,119,NA
"2020-09-26","east_of_england",12,5,52,3,1894,1,0,0,0,0,0,1,3843,101,NA
"2020-09-27","east_of_england",15,6,64,1,1738,2,0,0,0,0,1,1,3228,148,NA
"2020-09-28","east_of_england",13,9,76,6,1865,2,1,1,0,0,0,2,9578,213,NA
"2020-09-29","east_of_england",10,12,89,7,1540,3,0,0,0,0,0,3,12585,190,NA
"2020-09-30","east_of_england",18,13,86,5,1320,3,0,0,0,0,2,1,12486,222,NA
"2020-10-01","east_of_england",11,12,79,2,964,2,0,1,0,0,0,2,12819,232,NA
"2020-10-02","east_of_england",19,14,93,5,872,0,0,0,0,0,0,0,12694,247,NA
"2020-10-03","east_of_england",19,13,101,5,832,1,1,0,0,0,1,0,5565,211,NA
"2020-10-04","east_of_england",16,14,98,0,406,0,0,0,0,0,0,0,3821,204,NA
"2020-10-05","east_of_england",23,13,115,2,510,0,0,1,0,0,0,0,11180,305,NA
"2020-10-06","east_of_england",11,12,119,NA,NA,4,0,0,0,0,1,3,15827,344,NA
"2020-10-07","east_of_england",17,13,128,NA,NA,7,0,1,0,0,1,6,15117,316,NA
"2020-10-08","east_of_england",23,12,119,NA,NA,3,0,0,0,0,1,2,14236,342,NA
"2020-10-09","east_of_england",19,15,135,NA,NA,3,0,0,0,0,0,3,13154,331,NA
"2020-10-10","east_of_england",16,17,135,NA,NA,3,1,1,0,0,0,3,4465,187,NA
"2020-10-11","east_of_england",27,16,140,NA,NA,4,0,0,1,0,1,2,3261,244,NA
"2020-10-12","east_of_england",24,16,149,NA,NA,2,0,0,0,0,0,2,11642,428,NA
"2020-10-13","east_of_england",32,20,166,NA,NA,3,0,0,0,0,0,3,14971,403,NA
"2020-10-14","east_of_england",27,19,183,NA,NA,2,0,0,0,0,0,2,15287,407,NA
"2020-10-15","east_of_england",41,18,217,NA,NA,5,1,0,0,1,0,4,13851,450,NA
"2020-10-16","east_of_england",23,19,223,0,122,5,0,0,0,0,1,4,13561,409,NA
"2020-10-17","east_of_england",37,21,241,3,1689,7,1,0,0,2,0,5,4836,319,NA
"2020-10-18","east_of_england",41,23,241,11,1818,6,0,1,0,0,0,6,4189,364,NA
"2020-10-19","east_of_england",43,21,277,15,2345,6,0,0,0,1,2,3,12923,652,NA
"2020-10-20","east_of_england",33,25,295,9,2059,10,3,0,0,0,1,9,16544,713,NA
"2020-10-21","east_of_england",50,28,314,13,2014,8,2,2,1,0,2,5,15311,683,NA
"2020-10-22","east_of_england",51,25,334,12,1977,7,1,0,0,1,2,4,14632,585,NA
"2020-10-23","east_of_england",56,28,343,17,1814,15,2,0,0,0,0,15,13130,623,NA
"2020-10-24","east_of_england",42,29,356,11,1475,2,1,2,0,0,0,2,5168,401,NA
"2020-10-25","east_of_england",62,30,406,7,1193,13,2,0,2,0,3,8,3661,389,NA
"2020-10-26","east_of_england",55,34,419,9,1468,8,1,0,0,1,1,6,12781,791,NA
"2020-10-27","east_of_england",51,41,454,8,1277,9,2,1,0,1,1,7,15468,624,NA
"2020-10-28","east_of_england",68,42,474,12,1029,12,3,1,0,0,2,10,14312,686,NA
"2020-10-29","east_of_england",68,49,476,7,908,13,4,2,0,0,4,9,14688,648,NA
"2020-10-30","east_of_england",67,49,501,3,835,14,4,0,0,1,0,13,13218,669,NA
"2020-10-31","east_of_england",56,51,505,6,704,14,1,2,1,0,1,12,4758,504,NA
"2020-11-01","east_of_england",67,50,527,5,426,16,2,1,0,1,1,14,4165,458,NA
"2020-11-02","east_of_england",55,54,555,4,691,13,1,1,2,0,1,10,13876,986,NA
"2020-11-03","east_of_england",76,63,598,NA,NA,12,5,0,0,1,1,10,17050,768,NA
"2020-11-04","east_of_england",87,65,595,NA,NA,14,0,1,0,1,5,8,15419,726,NA
"2020-11-05","east_of_england",67,60,611,NA,NA,16,4,2,2,2,2,10,15509,764,NA
"2020-11-06","east_of_england",61,61,620,NA,NA,18,3,2,2,0,2,14,15686,780,NA
"2020-11-07","east_of_england",58,62,608,NA,NA,11,3,0,1,0,2,8,6050,654,NA
"2020-11-08","east_of_england",70,64,636,NA,NA,14,4,1,0,3,1,10,4889,769,NA
"2020-11-09","east_of_england",103,68,650,NA,NA,15,6,5,1,0,3,11,15637,1194,NA
"2020-11-10","east_of_england",103,72,672,NA,NA,24,3,0,3,0,2,19,17037,966,NA
"2020-11-11","east_of_england",102,74,709,NA,NA,14,4,1,2,0,1,11,17413,1093,NA
"2020-11-12","east_of_england",127,73,718,NA,NA,14,4,0,0,1,0,13,15421,882,NA
"2020-11-13","east_of_england",83,71,767,0,29,19,3,2,0,3,3,13,15809,911,1
"2020-11-14","east_of_england",87,69,783,0,51,19,1,2,0,0,2,17,5883,673,NA
"2020-11-15","east_of_england",109,73,820,0,177,14,3,0,0,2,3,9,4196,584,NA
"2020-11-16","east_of_england",82,79,856,21,3063,15,6,1,0,2,5,8,15684,1001,3
"2020-11-17","east_of_england",100,77,891,10,2450,17,4,1,0,1,3,13,16954,887,NA
"2020-11-18","east_of_england",109,78,881,13,2399,19,4,0,1,3,2,13,15843,812,NA
"2020-11-19","east_of_england",93,79,889,12,2315,24,1,0,1,0,7,16,15790,722,NA
"2020-11-20","east_of_england",105,73,895,16,2178,21,1,1,0,1,2,18,14290,637,NA
"2020-11-21","east_of_england",73,82,904,3,2227,16,7,0,1,1,4,10,5613,486,NA
"2020-11-22","east_of_england",131,77,902,5,1494,21,2,1,1,1,5,14,4099,521,NA
"2020-11-23","east_of_england",96,88,956,11,1479,18,11,1,1,1,2,14,15122,741,NA
"2020-11-24","east_of_england",103,83,977,4,1343,19,4,1,0,4,1,14,16881,626,NA
"2020-11-25","east_of_england",99,79,957,7,1125,24,7,1,1,1,5,17,16115,737,NA
"2020-11-26","east_of_england",85,86,969,6,919,21,2,1,0,2,5,14,14580,615,NA
"2020-11-27","east_of_england",64,82,969,3,861,20,7,0,1,2,2,15,14054,740,NA
"2020-11-28","east_of_england",87,86,961,7,847,28,3,2,0,1,7,20,5597,490,NA
"2020-11-29","east_of_england",87,91,948,2,621,16,3,1,0,2,1,13,4450,467,1
"2020-11-30","east_of_england",130,86,991,3,586,25,5,1,0,1,5,19,14963,933,NA
"2020-12-01","east_of_england",122,86,997,6,571,24,7,3,2,2,2,18,16086,735,1
"2020-12-02","east_of_england",109,81,1014,2,509,22,2,2,2,2,4,14,16751,799,NA
"2020-03-16","london",NA,NA,NA,NA,NA,13,1,0,0,1,0,12,NA,NA,NA
"2020-03-17","london",NA,NA,NA,NA,NA,24,2,0,0,3,4,17,NA,NA,NA
"2020-03-18","london",NA,NA,NA,NA,NA,24,2,2,2,1,2,19,NA,NA,NA
"2020-03-19","london",240,NA,NA,NA,NA,25,3,3,2,1,6,16,NA,NA,NA
"2020-03-20","london",272,NA,841,NA,NA,44,1,3,3,4,4,33,NA,NA,NA
"2020-03-21","london",311,NA,1081,NA,NA,44,2,8,4,4,7,29,NA,NA,NA
"2020-03-22","london",335,NA,1266,NA,NA,55,4,5,1,5,14,35,NA,NA,NA
"2020-03-23","london",505,NA,1559,NA,NA,59,5,4,5,6,10,38,NA,NA,NA
"2020-03-24","london",637,NA,1705,NA,NA,85,5,7,6,8,12,59,NA,NA,NA
"2020-03-25","london",675,NA,2051,NA,NA,111,11,12,11,13,15,72,NA,NA,NA
"2020-03-26","london",519,NA,2244,NA,NA,128,7,11,11,8,31,78,NA,NA,NA
"2020-03-27","london",639,NA,2829,NA,NA,127,15,11,8,11,24,84,NA,NA,NA
"2020-03-28","london",551,NA,3114,NA,NA,125,7,15,5,14,17,89,NA,NA,NA
"2020-03-29","london",672,NA,3464,NA,NA,150,12,11,12,12,38,88,NA,NA,NA
"2020-03-30","london",883,NA,3638,NA,NA,159,14,20,10,14,29,105,NA,NA,NA
"2020-03-31","london",645,NA,4073,NA,NA,196,19,23,8,24,30,134,NA,NA,NA
"2020-04-01","london",767,NA,4219,NA,NA,192,21,22,12,27,35,118,NA,NA,NA
"2020-04-02","london",835,673,4168,NA,NA,202,29,23,11,23,32,136,NA,NA,NA
"2020-04-03","london",647,759,4092,NA,NA,189,41,36,11,15,38,125,NA,NA,NA
"2020-04-04","london",733,824,4691,NA,NA,227,26,30,12,27,46,142,NA,NA,NA
"2020-04-05","london",732,800,4869,NA,NA,204,38,29,14,26,38,126,NA,NA,NA
"2020-04-06","london",743,914,5058,NA,NA,204,44,25,13,22,43,126,NA,NA,NA
"2020-04-07","london",722,876,5025,NA,NA,227,47,21,15,34,54,124,NA,NA,NA
"2020-04-08","london",744,941,5198,NA,NA,246,50,29,21,26,45,154,NA,NA,NA
"2020-04-09","london",554,849,5201,NA,NA,198,50,22,14,26,39,119,NA,NA,NA
"2020-04-10","london",531,1057,5168,NA,NA,176,38,24,15,24,40,97,NA,NA,NA
