date,region,age,count
2020-03-19,east_of_england,85_plus,1
2020-03-20,east_of_england,85_plus,2
2020-03-21,east_of_england,85_plus,7
2020-03-22,east_of_england,85_plus,7
2020-03-23,east_of_england,85_plus,6
2020-03-24,east_of_england,85_plus,5
2020-03-25,east_of_england,85_plus,24
2020-03-26,east_of_england,85_plus,17
2020-03-27,east_of_england,85_plus,19
2020-03-28,east_of_england,85_plus,11
2020-03-29,east_of_england,85_plus,24
2020-03-30,east_of_england,85_plus,28
2020-03-31,east_of_england,85_plus,18
2020-04-01,east_of_england,85_plus,27
2020-04-02,east_of_england,85_plus,41
2020-04-03,east_of_england,85_plus,25
2020-04-04,east_of_england,85_plus,25
2020-04-05,east_of_england,85_plus,34
2020-04-06,east_of_england,85_plus,48
2020-04-07,east_of_england,85_plus,58
2020-04-08,east_of_england,85_plus,33
2020-04-09,east_of_england,85_plus,55
2020-04-10,east_of_england,85_plus,58
2020-04-11,east_of_england,85_plus,37
2020-04-12,east_of_england,85_plus,34
2020-04-13,east_of_england,85_plus,31
2020-04-14,east_of_england,85_plus,48
2020-04-15,east_of_england,85_plus,52
2020-04-16,east_of_england,85_plus,29
2020-04-17,east_of_england,85_plus,30
2020-04-18,east_of_england,85_plus,44
2020-04-19,east_of_england,85_plus,57
2020-04-20,east_of_england,85_plus,34
2020-04-21,east_of_england,85_plus,43
2020-04-22,east_of_england,85_plus,46
2020-04-23,east_of_england,85_plus,39
2020-04-24,east_of_england,85_plus,36
2020-04-25,east_of_england,85_plus,38
2020-04-26,east_of_england,85_plus,49
2020-04-27,east_of_england,85_plus,55
2020-04-28,east_of_england,85_plus,33
2020-04-29,east_of_england,85_plus,59
2020-04-30,east_of_england,85_plus,40
2020-05-01,east_of_england,85_plus,52
2020-05-02,east_of_england,85_plus,27
2020-05-03,east_of_england,85_plus,30
2020-05-04,east_of_england,85_plus,47
2020-05-05,east_of_england,85_plus,32
2020-05-06,east_of_england,85_plus,34
2020-05-07,east_of_england,85_plus,45
2020-05-08,east_of_england,85_plus,35
2020-05-09,east_of_england,85_plus,34
2020-05-10,east_of_england,85_plus,26
2020-05-11,east_of_england,85_plus,34
2020-05-12,east_of_england,85_plus,28
2020-05-13,east_of_england,85_plus,41
2020-05-14,east_of_england,85_plus,21
2020-05-15,east_of_england,85_plus,27
2020-05-16,east_of_england,85_plus,28
2020-05-17,east_of_england,85_plus,20
2020-05-18,east_of_england,85_plus,31
2020-05-19,east_of_england,85_plus,24
2020-05-20,east_of_england,85_plus,33
2020-05-21,east_of_england,85_plus,36
2020-05-22,east_of_england,85_plus,32
2020-05-23,east_of_england,85_plus,17
2020-05-24,east_of_england,85_plus,14
2020-05-25,east_of_england,85_plus,17
2020-05-26,east_of_england,85_plus,12
2020-05-27,east_of_england,85_plus,30
2020-05-28,east_of_england,85_plus,15
2020-05-29,east_of_england,85_plus,17
2020-05-30,east_of_england,85_plus,13
2020-05-31,east_of_england,85_plus,13
2020-06-01,east_of_england,85_plus,13
2020-06-02,east_of_england,85_plus,12
2020-06-03,east_of_england,85_plus,18
2020-06-04,east_of_england,85_plus,21
2020-06-05,east_of_england,85_plus,14
2020-06-06,east_of_england,85_plus,6
2020-06-07,east_of_england,85_plus,10
2020-06-08,east_of_england,85_plus,12
2020-06-09,east_of_england,85_plus,9
2020-06-10,east_of_england,85_plus,10
2020-06-11,east_of_england,85_plus,7
2020-06-12,east_of_england,85_plus,8
2020-06-13,east_of_england,85_plus,8
2020-06-14,east_of_england,85_plus,4
2020-06-15,east_of_england,85_plus,15
2020-06-16,east_of_england,85_plus,14
2020-06-17,east_of_england,85_plus,6
2020-06-18,east_of_england,85_plus,10
2020-06-19,east_of_england,85_plus,10
2020-06-20,east_of_england,85_plus,9
2020-06-21,east_of_england,85_plus,7
2020-06-22,east_of_england,85_plus,9
2020-06-23,east_of_england,85_plus,5
2020-06-24,east_of_england,85_plus,5
2020-06-25,east_of_england,85_plus,9
2020-06-26,east_of_england,85_plus,12
2020-06-27,east_of_england,85_plus,6
2020-06-28,east_of_england,85_plus,3
2020-06-29,east_of_england,85_plus,6
2020-06-30,east_of_england,85_plus,4
2020-07-01,east_of_england,85_plus,8
2020-07-02,east_of_england,85_plus,3
2020-07-03,east_of_england,85_plus,10
2020-07-04,east_of_england,85_plus,5
2020-07-05,east_of_england,85_plus,4
2020-07-06,east_of_england,85_plus,7
2020-07-07,east_of_england,85_plus,8
2020-07-08,east_of_england,85_plus,3
2020-07-09,east_of_england,85_plus,2
2020-07-10,east_of_england,85_plus,3
2020-07-11,east_of_england,85_plus,4
2020-07-12,east_of_england,85_plus,7
2020-07-13,east_of_england,85_plus,2
2020-07-14,east_of_england,85_plus,5
2020-07-15,east_of_england,85_plus,2
2020-07-16,east_of_england,85_plus,5
2020-07-17,east_of_england,85_plus,4
2020-07-18,east_of_england,85_plus,2
2020-07-19,east_of_england,85_plus,2
2020-07-20,east_of_england,85_plus,3
2020-07-21,east_of_england,85_plus,2
2020-07-22,east_of_england,85_plus,0
2020-07-23,east_of_england,85_plus,4
2020-07-24,east_of_england,85_plus,5
2020-07-25,east_of_england,85_plus,5
2020-07-26,east_of_england,85_plus,1
2020-07-27,east_of_england,85_plus,5
2020-07-28,east_of_england,85_plus,1
2020-07-29,east_of_england,85_plus,1
2020-07-30,east_of_england,85_plus,4
2020-07-31,east_of_england,85_plus,0
2020-08-01,east_of_england,85_plus,1
2020-08-02,east_of_england,85_plus,0
2020-08-03,east_of_england,85_plus,2
2020-08-04,east_of_england,85_plus,3
2020-08-05,east_of_england,85_plus,3
2020-08-06,east_of_england,85_plus,3
2020-08-07,east_of_england,85_plus,0
2020-08-08,east_of_england,85_plus,1
2020-08-09,east_of_england,85_plus,3
2020-08-10,east_of_england,85_plus,1
2020-08-11,east_of_england,85_plus,2
2020-08-12,east_of_england,85_plus,1
2020-08-13,east_of_england,85_plus,1
2020-08-14,east_of_england,85_plus,2
2020-08-15,east_of_england,85_plus,2
2020-08-16,east_of_england,85_plus,0
2020-08-17,east_of_england,85_plus,1
2020-08-18,east_of_england,85_plus,3
2020-08-19,east_of_england,85_plus,0
2020-08-20,east_of_england,85_plus,1
2020-08-21,east_of_england,85_plus,0
2020-08-22,east_of_england,85_plus,3
2020-08-23,east_of_england,85_plus,0
2020-08-24,east_of_england,85_plus,0
2020-08-25,east_of_england,85_plus,0
2020-08-26,east_of_england,85_plus,0
2020-08-27,east_of_england,85_plus,3
2020-08-28,east_of_england,85_plus,0
2020-08-29,east_of_england,85_plus,0
2020-08-30,east_of_england,85_plus,0
2020-08-31,east_of_england,85_plus,1
2020-09-01,east_of_england,85_plus,0
2020-09-02,east_of_england,85_plus,0
2020-09-03,east_of_england,85_plus,2
2020-09-04,east_of_england,85_plus,0
2020-09-05,east_of_england,85_plus,0
2020-09-06,east_of_england,85_plus,1
2020-09-07,east_of_england,85_plus,0
2020-09-08,east_of_england,85_plus,2
2020-09-09,east_of_england,85_plus,0
2020-09-10,east_of_england,85_plus,0
2020-09-11,east_of_england,85_plus,0
2020-09-12,east_of_england,85_plus,4
2020-09-13,east_of_england,85_plus,0
2020-09-14,east_of_england,85_plus,0
2020-09-15,east_of_england,85_plus,2
2020-09-16,east_of_england,85_plus,2
2020-09-17,east_of_england,85_plus,1
2020-09-18,east_of_england,85_plus,0
2020-09-19,east_of_england,85_plus,0
2020-09-20,east_of_england,85_plus,1
2020-09-21,east_of_england,85_plus,1
2020-09-22,east_of_england,85_plus,3
2020-09-23,east_of_england,85_plus,0
2020-09-24,east_of_england,85_plus,3
2020-09-25,east_of_england,85_plus,1
2020-09-26,east_of_england,85_plus,3
2020-09-27,east_of_england,85_plus,1
2020-09-28,east_of_england,85_plus,4
2020-09-29,east_of_england,85_plus,6
2020-09-30,east_of_england,85_plus,0
2020-10-01,east_of_england,85_plus,1
2020-10-02,east_of_england,85_plus,1
2020-10-03,east_of_england,85_plus,4
2020-10-04,east_of_england,85_plus,3
2020-10-05,east_of_england,85_plus,2
2020-10-06,east_of_england,85_plus,3
2020-10-07,east_of_england,85_plus,2
2020-10-08,east_of_england,85_plus,5
2020-10-09,east_of_england,85_plus,3
2020-10-10,east_of_england,85_plus,2
2020-10-11,east_of_england,85_plus,3
2020-10-12,east_of_england,85_plus,5
2020-10-13,east_of_england,85_plus,5
2020-10-14,east_of_england,85_plus,7
2020-10-15,east_of_england,85_plus,9
2020-10-16,east_of_england,85_plus,6
2020-10-17,east_of_england,85_plus,12
2020-10-18,east_of_england,85_plus,9
2020-10-19,east_of_england,85_plus,6
2020-10-20,east_of_england,85_plus,8
2020-10-21,east_of_england,85_plus,7
2020-10-22,east_of_england,85_plus,7
2020-10-23,east_of_england,85_plus,14
2020-10-24,east_of_england,85_plus,17
2020-10-25,east_of_england,85_plus,8
2020-10-26,east_of_england,85_plus,26
2020-10-27,east_of_england,85_plus,10
2020-10-28,east_of_england,85_plus,11
2020-10-29,east_of_england,85_plus,12
