"date","age_group","age_low","age_up","region","n_positive","total_samples"
"2020-10-02","15_64",15,64,"midlands",42,574
"2020-10-03","15_64",15,64,"midlands",13,208
"2020-10-04","15_64",15,64,"midlands",3,94
"2020-10-09","15_64",15,64,"midlands",0,1
"2020-10-10","15_64",15,64,"midlands",0,2
"2020-10-14","15_64",15,64,"midlands",1,9
"2020-10-16","15_64",15,64,"midlands",0,17
"2020-10-17","15_64",15,64,"midlands",0,1
"2020-10-22","15_64",15,64,"midlands",0,4
"2020-10-23","15_64",15,64,"midlands",0,2
"2020-10-28","15_64",15,64,"midlands",2,32
"2020-10-29","15_64",15,64,"midlands",0,10
"2020-10-31","15_64",15,64,"midlands",1,2
"2020-11-01","15_64",15,64,"midlands",1,7
"2020-11-02","15_64",15,64,"midlands",12,219
"2020-11-04","15_64",15,64,"midlands",1,4
"2020-11-06","15_64",15,64,"midlands",18,238
"2020-11-08","15_64",15,64,"midlands",0,2
"2020-11-09","15_64",15,64,"midlands",0,15
"2020-11-12","15_64",15,64,"midlands",1,5
"2020-11-13","15_64",15,64,"midlands",0,4
"2020-11-15","15_64",15,64,"midlands",5,53
"2020-11-16","15_64",15,64,"midlands",18,218
"2020-11-18","15_64",15,64,"midlands",0,2
"2020-11-19","15_64",15,64,"midlands",0,2
"2020-11-20","15_64",15,64,"midlands",1,47
"2020-11-23","15_64",15,64,"midlands",11,190
"2020-11-25","15_64",15,64,"midlands",0,3
"2020-11-26","15_64",15,64,"midlands",1,6
"2020-11-27","15_64",15,64,"midlands",2,53
"2020-11-30","15_64",15,64,"midlands",1,45
"2020-04-14","15_64",15,64,"north_east_and_yorkshire",0,1
"2020-04-15","15_64",15,64,"north_east_and_yorkshire",25,550
"2020-04-16","15_64",15,64,"north_east_and_yorkshire",18,362
"2020-05-06","15_64",15,64,"north_east_and_yorkshire",0,2
"2020-05-07","15_64",15,64,"north_east_and_yorkshire",0,3
"2020-05-13","15_64",15,64,"north_east_and_yorkshire",33,436
"2020-05-14","15_64",15,64,"north_east_and_yorkshire",31,481
"2020-06-05","15_64",15,64,"north_east_and_yorkshire",0,1
"2020-06-10","15_64",15,64,"north_east_and_yorkshire",22,441
"2020-06-11","15_64",15,64,"north_east_and_yorkshire",34,442
"2020-06-12","15_64",15,64,"north_east_and_yorkshire",4,70
"2020-07-03","15_64",15,64,"north_east_and_yorkshire",0,2
"2020-07-08","15_64",15,64,"north_east_and_yorkshire",18,438
"2020-07-09","15_64",15,64,"north_east_and_yorkshire",22,454
"2020-07-29","15_64",15,64,"north_east_and_yorkshire",2,37
"2020-07-30","15_64",15,64,"north_east_and_yorkshire",0,5
"2020-08-05","15_64",15,64,"north_east_and_yorkshire",35,684
"2020-08-06","15_64",15,64,"north_east_and_yorkshire",10,171
"2020-08-27","15_64",15,64,"north_east_and_yorkshire",0,2
"2020-09-02","15_64",15,64,"north_east_and_yorkshire",16,377
"2020-09-03","15_64",15,64,"north_east_and_yorkshire",23,495
"2020-09-25","15_64",15,64,"north_east_and_yorkshire",0,1
"2020-09-30","15_64",15,64,"north_east_and_yorkshire",31,445
"2020-10-01","15_64",15,64,"north_east_and_yorkshire",23,385
"2020-10-21","15_64",15,64,"north_east_and_yorkshire",0,2
"2020-10-28","15_64",15,64,"north_east_and_yorkshire",14,211
"2020-11-05","15_64",15,64,"north_east_and_yorkshire",10,215
"2020-11-12","15_64",15,64,"north_east_and_yorkshire",15,239
"2020-11-18","15_64",15,64,"north_east_and_yorkshire",12,209
"2020-11-26","15_64",15,64,"north_east_and_yorkshire",20,228
"2020-04-02","15_64",15,64,"north_west",0,2
"2020-04-03","15_64",15,64,"north_west",0,3
"2020-04-15","15_64",15,64,"north_west",11,213
"2020-04-16","15_64",15,64,"north_west",27,340
"2020-04-17","15_64",15,64,"north_west",15,300
"2020-04-20","15_64",15,64,"north_west",0,1
"2020-05-06","15_64",15,64,"north_west",35,322
"2020-05-07","15_64",15,64,"north_west",47,487
"2020-05-08","15_64",15,64,"north_west",10,107
"2020-05-14","15_64",15,64,"north_west",0,1
"2020-06-04","15_64",15,64,"north_west",36,445
"2020-06-05","15_64",15,64,"north_west",32,374
"2020-06-06","15_64",15,64,"north_west",11,133
"2020-06-11","15_64",15,64,"north_west",0,1
"2020-06-15","15_64",15,64,"north_west",0,1
"2020-07-01","15_64",15,64,"north_west",16,205
"2020-07-02","15_64",15,64,"north_west",36,372
"2020-07-03","15_64",15,64,"north_west",17,299
"2020-07-29","15_64",15,64,"north_west",29,320
"2020-07-30","15_64",15,64,"north_west",24,253
"2020-07-31","15_64",15,64,"north_west",12,271
"2020-08-26","15_64",15,64,"north_west",17,338
"2020-08-27","15_64",15,64,"north_west",3,22
"2020-08-28","15_64",15,64,"north_west",22,309
"2020-09-02","15_64",15,64,"north_west",0,7
"2020-09-03","15_64",15,64,"north_west",0,1
"2020-09-23","15_64",15,64,"north_west",21,373
"2020-09-24","15_64",15,64,"north_west",20,389
"2020-09-25","15_64",15,64,"north_west",9,126
"2020-09-30","15_64",15,64,"north_west",0,8
"2020-10-21","15_64",15,64,"north_west",38,433
"2020-10-22","15_64",15,64,"north_west",19,304
"2020-10-23","15_64",15,64,"north_west",9,146
"2020-10-29","15_64",15,64,"north_west",16,201
"2020-11-02","15_64",15,64,"north_west",0,1
"2020-11-04","15_64",15,64,"north_west",17,200
"2020-11-11","15_64",15,64,"north_west",31,223
"2020-11-18","15_64",15,64,"north_west",0,4
"2020-11-19","15_64",15,64,"north_west",23,229
"2020-11-25","15_64",15,64,"north_west",31,226
"2020-03-26","15_64",15,64,"south_east",0,3
"2020-03-27","15_64",15,64,"south_east",0,10
"2020-04-02","15_64",15,64,"south_east",0,2
"2020-04-03","15_64",15,64,"south_east",0,6
"2020-04-09","15_64",15,64,"south_east",0,4
"2020-04-10","15_64",15,64,"south_east",0,4
"2020-04-11","15_64",15,64,"south_east",0,2
"2020-04-13","15_64",15,64,"south_east",0,6
"2020-04-23","15_64",15,64,"south_east",0,1
"2020-04-24","15_64",15,64,"south_east",3,18
"2020-04-25","15_64",15,64,"south_east",0,1
"2020-04-26","15_64",15,64,"south_east",0,1
"2020-04-30","15_64",15,64,"south_east",39,784
"2020-05-01","15_64",15,64,"south_east",1,38
"2020-05-07","15_64",15,64,"south_east",0,2
"2020-05-14","15_64",15,64,"south_east",0,1
"2020-05-15","15_64",15,64,"south_east",0,10
"2020-05-21","15_64",15,64,"south_east",2,13
"2020-05-22","15_64",15,64,"south_east",7,54
"2020-05-28","15_64",15,64,"south_east",8,231
"2020-05-29","15_64",15,64,"south_east",24,474
"2020-06-05","15_64",15,64,"south_east",9,103
"2020-06-07","15_64",15,64,"south_east",1,5
"2020-06-08","15_64",15,64,"south_east",1,23
"2020-06-11","15_64",15,64,"south_east",0,1
"2020-06-14","15_64",15,64,"south_east",0,1
"2020-06-15","15_64",15,64,"south_east",0,1
"2020-06-19","15_64",15,64,"south_east",5,104
"2020-06-22","15_64",15,64,"south_east",0,20
"2020-06-26","15_64",15,64,"south_east",21,403
"2020-06-29","15_64",15,64,"south_east",18,406
"2020-07-03","15_64",15,64,"south_east",1,38
"2020-07-04","15_64",15,64,"south_east",0,2
"2020-07-05","15_64",15,64,"south_east",0,2
"2020-07-06","15_64",15,64,"south_east",0,14
"2020-07-10","15_64",15,64,"south_east",0,2
"2020-07-13","15_64",15,64,"south_east",4,66
"2020-07-17","15_64",15,64,"south_east",3,32
"2020-07-19","15_64",15,64,"south_east",0,43
"2020-07-20","15_64",15,64,"south_east",1,15
"2020-07-24","15_64",15,64,"south_east",30,800
"2020-07-26","15_64",15,64,"south_east",0,1
"2020-07-27","15_64",15,64,"south_east",1,2
"2020-07-30","15_64",15,64,"south_east",0,5
"2020-07-31","15_64",15,64,"south_east",2,52
"2020-08-02","15_64",15,64,"south_east",1,2
"2020-08-06","15_64",15,64,"south_east",0,35
"2020-08-07","15_64",15,64,"south_east",1,10
"2020-08-13","15_64",15,64,"south_east",1,5
"2020-08-14","15_64",15,64,"south_east",2,20
"2020-08-16","15_64",15,64,"south_east",0,1
"2020-08-19","15_64",15,64,"south_east",25,667
"2020-08-21","15_64",15,64,"south_east",4,86
"2020-08-27","15_64",15,64,"south_east",1,17
"2020-08-28","15_64",15,64,"south_east",0,14
"2020-09-03","15_64",15,64,"south_east",1,4
"2020-09-05","15_64",15,64,"south_east",1,1
"2020-09-06","15_64",15,64,"south_east",0,12
"2020-09-09","15_64",15,64,"south_east",0,3
"2020-09-11","15_64",15,64,"south_east",4,15
"2020-09-12","15_64",15,64,"south_east",1,1
"2020-09-13","15_64",15,64,"south_east",0,4
"2020-09-16","15_64",15,64,"south_east",0,2
"2020-09-18","15_64",15,64,"south_east",26,645
"2020-09-25","15_64",15,64,"south_east",0,24
"2020-09-27","15_64",15,64,"south_east",0,2
"2020-09-28","15_64",15,64,"south_east",0,3
"2020-10-02","15_64",15,64,"south_east",1,3
"2020-10-03","15_64",15,64,"south_east",0,1
"2020-10-07","15_64",15,64,"south_east",0,20
"2020-10-08","15_64",15,64,"south_east",0,6
"2020-10-09","15_64",15,64,"south_east",2,42
"2020-10-10","15_64",15,64,"south_east",0,2
"2020-10-11","15_64",15,64,"south_east",0,1
"2020-10-14","15_64",15,64,"south_east",25,635
"2020-10-15","15_64",15,64,"south_east",8,107
"2020-10-21","15_64",15,64,"south_east",1,4
"2020-10-22","15_64",15,64,"south_east",1,15
"2020-10-23","15_64",15,64,"south_east",0,10
"2020-10-29","15_64",15,64,"south_east",11,221
"2020-11-01","15_64",15,64,"south_east",1,36
"2020-11-02","15_64",15,64,"south_east",0,1
"2020-11-06","15_64",15,64,"south_east",3,60
"2020-11-07","15_64",15,64,"south_east",2,28
"2020-11-08","15_64",15,64,"south_east",0,2
"2020-11-09","15_64",15,64,"south_east",6,215
"2020-11-13","15_64",15,64,"south_east",13,230
"2020-11-15","15_64",15,64,"south_east",0,4
"2020-11-16","15_64",15,64,"south_east",0,3
"2020-11-20","15_64",15,64,"south_east",11,200
"2020-11-22","15_64",15,64,"south_east",7,13
"2020-11-23","15_64",15,64,"south_east",2,40
"2020-11-27","15_64",15,64,"south_east",0,9
"2020-11-28","15_64",15,64,"south_east",1,84
"2020-11-29","15_64",15,64,"south_east",6,98
"2020-11-30","15_64",15,64,"south_east",2,48
"2020-04-02","15_64",15,64,"south_west",1,22
"2020-04-03","15_64",15,64,"south_west",0,18
"2020-04-23","15_64",15,64,"south_west",1,10
"2020-04-24","15_64",15,64,"south_west",23,580
"2020-04-25","15_64",15,64,"south_west",2,56
"2020-04-26","15_64",15,64,"south_west",14,189
"2020-04-30","15_64",15,64,"south_west",5,86
"2020-05-14","15_64",15,64,"south_west",1,47
"2020-05-15","15_64",15,64,"south_west",2,20
"2020-05-21","15_64",15,64,"south_west",20,423
"2020-05-22","15_64",15,64,"south_west",15,514
"2020-05-29","15_64",15,64,"south_west",0,7
"2020-06-11","15_64",15,64,"south_west",0,28
"2020-06-15","15_64",15,64,"south_west",1,3
"2020-06-16","15_64",15,64,"south_west",0,7
"2020-06-19","15_64",15,64,"south_west",15,424
"2020-06-22","15_64",15,64,"south_west",17,434
"2020-06-26","15_64",15,64,"south_west",0,13
"2020-06-29","15_64",15,64,"south_west",0,11
"2020-07-10","15_64",15,64,"south_west",0,12
"2020-07-13","15_64",15,64,"south_west",0,2
"2020-07-17","15_64",15,64,"south_west",14,702
"2020-07-20","15_64",15,64,"south_west",11,202
"2020-07-24","15_64",15,64,"south_west",1,8
"2020-08-06","15_64",15,64,"south_west",0,22
"2020-08-13","15_64",15,64,"south_west",16,523
"2020-08-14","15_64",15,64,"south_west",13,341
"2020-08-19","15_64",15,64,"south_west",3,74
"2020-08-21","15_64",15,64,"south_west",0,1
"2020-09-03","15_64",15,64,"south_west",0,15
"2020-09-09","15_64",15,64,"south_west",20,572
"2020-09-11","15_64",15,64,"south_west",11,283
"2020-09-18","15_64",15,64,"south_west",1,70
"2020-10-02","15_64",15,64,"south_west",3,19
"2020-10-03","15_64",15,64,"south_west",0,3
"2020-10-09","15_64",15,64,"south_west",22,589
"2020-10-10","15_64",15,64,"south_west",1,99
"2020-10-11","15_64",15,64,"south_west",6,161
"2020-10-14","15_64",15,64,"south_west",2,11
"2020-10-15","15_64",15,64,"south_west",0,1
"2020-10-29","15_64",15,64,"south_west",10,224
"2020-11-02","15_64",15,64,"south_west",0,1
"2020-11-06","15_64",15,64,"south_west",6,182
"2020-11-13","15_64",15,64,"south_west",6,244
"2020-11-16","15_64",15,64,"south_west",0,6
"2020-11-20","15_64",15,64,"south_west",10,192
"2020-11-23","15_64",15,64,"south_west",0,6
"2020-11-27","15_64",15,64,"south_west",7,226
"2020-11-29","15_64",15,64,"south_west",0,2
