"date","age_group","age_low","age_up","region","n_positive","total_samples"
"2020-03-26","15_64",15,64,"london",8,368
"2020-03-27","15_64",15,64,"london",11,324
"2020-04-09","15_64",15,64,"london",18,215
"2020-04-10","15_64",15,64,"london",28,266
"2020-04-11","15_64",15,64,"london",9,80
"2020-04-12","15_64",15,64,"london",14,105
"2020-04-13","15_64",15,64,"london",32,326
"2020-04-30","15_64",15,64,"london",4,58
"2020-05-01","15_64",15,64,"london",61,445
"2020-05-02","15_64",15,64,"london",27,218
"2020-05-03","15_64",15,64,"london",29,223
"2020-05-07","15_64",15,64,"london",3,7
"2020-05-08","15_64",15,64,"london",0,2
"2020-05-10","15_64",15,64,"london",0,11
"2020-05-21","15_64",15,64,"london",69,466
"2020-05-22","15_64",15,64,"london",31,234
"2020-05-28","15_64",15,64,"london",2,42
"2020-05-29","15_64",15,64,"london",0,4
"2020-06-05","15_64",15,64,"london",48,381
"2020-06-07","15_64",15,64,"london",47,276
"2020-06-08","15_64",15,64,"london",29,223
"2020-06-19","15_64",15,64,"london",43,388
"2020-06-22","15_64",15,64,"london",51,376
"2020-06-26","15_64",15,64,"london",4,21
"2020-06-29","15_64",15,64,"london",4,40
"2020-07-03","15_64",15,64,"london",23,242
"2020-07-04","15_64",15,64,"london",17,162
"2020-07-05","15_64",15,64,"london",22,234
"2020-07-06","15_64",15,64,"london",25,284
"2020-07-17","15_64",15,64,"london",31,336
"2020-07-19","15_64",15,64,"london",5,73
"2020-07-20","15_64",15,64,"london",36,454
"2020-07-24","15_64",15,64,"london",4,81
"2020-07-26","15_64",15,64,"london",1,10
"2020-07-27","15_64",15,64,"london",2,7
"2020-07-28","15_64",15,64,"london",0,2
"2020-07-30","15_64",15,64,"london",26,270
"2020-07-31","15_64",15,64,"london",23,232
"2020-08-02","15_64",15,64,"london",16,219
"2020-08-13","15_64",15,64,"london",30,327
"2020-08-14","15_64",15,64,"london",18,246
"2020-08-16","15_64",15,64,"london",23,295
"2020-08-19","15_64",15,64,"london",1,17
"2020-08-21","15_64",15,64,"london",1,3
"2020-08-24","15_64",15,64,"london",1,11
"2020-08-27","15_64",15,64,"london",50,470
"2020-08-28","15_64",15,64,"london",47,376
"2020-09-11","15_64",15,64,"london",51,569
"2020-09-12","15_64",15,64,"london",14,184
"2020-09-13","15_64",15,64,"london",24,187
"2020-09-16","15_64",15,64,"london",3,38
"2020-09-18","15_64",15,64,"london",5,97
"2020-09-25","15_64",15,64,"london",44,417
"2020-09-27","15_64",15,64,"london",20,243
"2020-09-28","15_64",15,64,"london",24,188
"2020-10-07","15_64",15,64,"london",69,611
"2020-10-08","15_64",15,64,"london",18,291
"2020-10-14","15_64",15,64,"london",3,46
"2020-10-15","15_64",15,64,"london",5,59
"2020-10-16","15_64",15,64,"london",0,14
"2020-10-17","15_64",15,64,"london",0,1
"2020-10-18","15_64",15,64,"london",0,10
"2020-10-21","15_64",15,64,"london",37,402
"2020-10-22","15_64",15,64,"london",9,120
"2020-10-23","15_64",15,64,"london",25,308
"2020-10-29","15_64",15,64,"london",0,12
"2020-10-31","15_64",15,64,"london",2,14
"2020-11-01","15_64",15,64,"london",21,216
"2020-11-07","15_64",15,64,"london",21,220
"2020-11-08","15_64",15,64,"london",1,8
"2020-11-09","15_64",15,64,"london",2,12
"2020-11-13","15_64",15,64,"london",1,3
"2020-11-15","15_64",15,64,"london",28,279
"2020-11-20","15_64",15,64,"london",1,20
"2020-11-21","15_64",15,64,"london",0,1
"2020-11-22","15_64",15,64,"london",26,260
"2020-11-28","15_64",15,64,"london",2,31
"2020-11-29","15_64",15,64,"london",24,268
"2020-03-26","15_64",15,64,"east_of_england",0,16
"2020-03-27","15_64",15,64,"east_of_england",2,12
"2020-04-02","15_64",15,64,"east_of_england",1,39
"2020-04-03","15_64",15,64,"east_of_england",0,13
"2020-04-09","15_64",15,64,"east_of_england",1,27
"2020-04-10","15_64",15,64,"east_of_england",0,4
"2020-04-12","15_64",15,64,"east_of_england",2,3
"2020-04-13","15_64",15,64,"east_of_england",1,6
"2020-04-24","15_64",15,64,"east_of_england",3,32
"2020-04-30","15_64",15,64,"east_of_england",1,14
"2020-05-01","15_64",15,64,"east_of_england",4,22
"2020-05-02","15_64",15,64,"east_of_england",0,2
"2020-05-03","15_64",15,64,"east_of_england",1,18
"2020-05-07","15_64",15,64,"east_of_england",33,503
"2020-05-08","15_64",15,64,"east_of_england",20,171
"2020-05-10","15_64",15,64,"east_of_england",15,181
"2020-05-15","15_64",15,64,"east_of_england",0,2
"2020-05-21","15_64",15,64,"east_of_england",1,10
"2020-05-22","15_64",15,64,"east_of_england",1,19
"2020-05-28","15_64",15,64,"east_of_england",25,528
"2020-05-29","15_64",15,64,"east_of_england",26,482
"2020-06-05","15_64",15,64,"east_of_england",1,17
"2020-06-07","15_64",15,64,"east_of_england",0,8
"2020-06-08","15_64",15,64,"east_of_england",1,4
"2020-06-15","15_64",15,64,"east_of_england",0,22
"2020-06-16","15_64",15,64,"east_of_england",0,1
"2020-06-19","15_64",15,64,"east_of_england",2,11
"2020-06-22","15_64",15,64,"east_of_england",1,10
"2020-06-26","15_64",15,64,"east_of_england",18,392
"2020-06-29","15_64",15,64,"east_of_england",20,396
"2020-07-03","15_64",15,64,"east_of_england",3,19
"2020-07-05","15_64",15,64,"east_of_england",1,7
"2020-07-10","15_64",15,64,"east_of_england",5,36
"2020-07-17","15_64",15,64,"east_of_england",2,15
"2020-07-20","15_64",15,64,"east_of_england",2,7
"2020-07-24","15_64",15,64,"east_of_england",1,12
"2020-07-25","15_64",15,64,"east_of_england",9,98
"2020-07-26","15_64",15,64,"east_of_england",9,179
"2020-07-27","15_64",15,64,"east_of_england",24,394
"2020-07-28","15_64",15,64,"east_of_england",8,150
"2020-07-30","15_64",15,64,"east_of_england",6,62
"2020-07-31","15_64",15,64,"east_of_england",1,28
"2020-08-02","15_64",15,64,"east_of_england",2,26
"2020-08-06","15_64",15,64,"east_of_england",0,16
"2020-08-13","15_64",15,64,"east_of_england",1,28
"2020-08-14","15_64",15,64,"east_of_england",0,6
"2020-08-16","15_64",15,64,"east_of_england",0,10
"2020-08-19","15_64",15,64,"east_of_england",0,7
"2020-08-21","15_64",15,64,"east_of_england",20,516
"2020-08-24","15_64",15,64,"east_of_england",15,265
"2020-08-27","15_64",15,64,"east_of_england",1,11
"2020-08-28","15_64",15,64,"east_of_england",3,37
"2020-09-03","15_64",15,64,"east_of_england",0,13
"2020-09-11","15_64",15,64,"east_of_england",1,8
"2020-09-12","15_64",15,64,"east_of_england",0,4
"2020-09-13","15_64",15,64,"east_of_england",0,2
"2020-09-16","15_64",15,64,"east_of_england",33,566
"2020-09-18","15_64",15,64,"east_of_england",9,187
"2020-09-25","15_64",15,64,"east_of_england",0,18
"2020-09-27","15_64",15,64,"east_of_england",0,7
"2020-09-28","15_64",15,64,"east_of_england",0,6
"2020-10-07","15_64",15,64,"east_of_england",0,13
"2020-10-08","15_64",15,64,"east_of_england",0,15
"2020-10-14","15_64",15,64,"east_of_england",0,5
"2020-10-16","15_64",15,64,"east_of_england",26,521
"2020-10-17","15_64",15,64,"east_of_england",3,91
"2020-10-18","15_64",15,64,"east_of_england",17,255
"2020-10-21","15_64",15,64,"east_of_england",0,15
"2020-10-23","15_64",15,64,"east_of_england",2,22
"2020-10-31","15_64",15,64,"east_of_england",7,116
"2020-11-01","15_64",15,64,"east_of_england",6,113
"2020-11-07","15_64",15,64,"east_of_england",1,12
"2020-11-08","15_64",15,64,"east_of_england",13,207
"2020-11-15","15_64",15,64,"east_of_england",19,178
"2020-11-21","15_64",15,64,"east_of_england",12,125
"2020-11-22","15_64",15,64,"east_of_england",5,112
"2020-11-27","15_64",15,64,"east_of_england",7,175
"2020-11-28","15_64",15,64,"east_of_england",1,8
"2020-11-29","15_64",15,64,"east_of_england",0,3
"2020-04-02","15_64",15,64,"midlands",18,506
"2020-04-03","15_64",15,64,"midlands",4,252
"2020-04-15","15_64",15,64,"midlands",0,7
"2020-04-16","15_64",15,64,"midlands",4,49
"2020-04-23","15_64",15,64,"midlands",42,578
"2020-04-24","15_64",15,64,"midlands",17,327
"2020-04-25","15_64",15,64,"midlands",0,1
"2020-05-06","15_64",15,64,"midlands",2,3
"2020-05-07","15_64",15,64,"midlands",9,80
"2020-05-08","15_64",15,64,"midlands",0,3
"2020-05-13","15_64",15,64,"midlands",0,1
"2020-05-14","15_64",15,64,"midlands",14,311
"2020-05-15","15_64",15,64,"midlands",30,422
"2020-05-22","15_64",15,64,"midlands",0,1
"2020-05-28","15_64",15,64,"midlands",0,5
"2020-05-29","15_64",15,64,"midlands",0,11
"2020-06-04","15_64",15,64,"midlands",0,1
"2020-06-05","15_64",15,64,"midlands",0,1
"2020-06-10","15_64",15,64,"midlands",0,3
"2020-06-11","15_64",15,64,"midlands",31,490
"2020-06-14","15_64",15,64,"midlands",5,78
"2020-06-15","15_64",15,64,"midlands",24,300
"2020-06-16","15_64",15,64,"midlands",10,116
"2020-06-19","15_64",15,64,"midlands",0,5
"2020-06-22","15_64",15,64,"midlands",0,1
"2020-06-26","15_64",15,64,"midlands",2,49
"2020-06-29","15_64",15,64,"midlands",0,8
"2020-07-02","15_64",15,64,"midlands",0,5
"2020-07-03","15_64",15,64,"midlands",0,3
"2020-07-08","15_64",15,64,"midlands",2,9
"2020-07-10","15_64",15,64,"midlands",41,607
"2020-07-13","15_64",15,64,"midlands",8,172
"2020-07-17","15_64",15,64,"midlands",0,1
"2020-07-24","15_64",15,64,"midlands",0,1
"2020-07-25","15_64",15,64,"midlands",0,1
"2020-07-26","15_64",15,64,"midlands",3,59
"2020-07-27","15_64",15,64,"midlands",0,5
"2020-07-28","15_64",15,64,"midlands",0,9
"2020-07-29","15_64",15,64,"midlands",0,14
"2020-07-31","15_64",15,64,"midlands",0,2
"2020-08-05","15_64",15,64,"midlands",1,25
"2020-08-06","15_64",15,64,"midlands",34,645
"2020-08-07","15_64",15,64,"midlands",7,148
"2020-08-13","15_64",15,64,"midlands",0,1
"2020-08-14","15_64",15,64,"midlands",0,5
"2020-08-19","15_64",15,64,"midlands",0,1
"2020-08-21","15_64",15,64,"midlands",2,28
"2020-08-24","15_64",15,64,"midlands",4,91
"2020-08-26","15_64",15,64,"midlands",0,3
"2020-08-28","15_64",15,64,"midlands",4,38
"2020-09-02","15_64",15,64,"midlands",0,3
"2020-09-03","15_64",15,64,"midlands",34,591
"2020-09-05","15_64",15,64,"midlands",13,133
"2020-09-06","15_64",15,64,"midlands",12,161
"2020-09-09","15_64",15,64,"midlands",0,1
"2020-09-11","15_64",15,64,"midlands",0,1
"2020-09-16","15_64",15,64,"midlands",0,53
"2020-09-18","15_64",15,64,"midlands",0,6
"2020-09-24","15_64",15,64,"midlands",0,3
"2020-09-25","15_64",15,64,"midlands",0,1
"2020-09-30","15_64",15,64,"midlands",2,17
"2020-10-01","15_64",15,64,"midlands",0,2
